 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9895808	0.002217286	0.0015007115	0.0034073773	0.0010617229	0.0016350357	0.00059716444
c	0.9975077	0.0017411922	0.00018516404	7.2770024e-05	0.00017179296	0.00014012684	0.00018122281
h	0.6337338	0.31391776	0.030486867	0.002266598	0.012924442	0.006188535	0.00048198312
a	0.17550601	0.7340958	0.05685266	0.0032598653	0.021324927	0.006487724	0.0024730077
n	0.5465081	0.42981264	0.003823655	0.0027416789	0.008464942	0.007322992	0.0013260624
a	0.15082122	0.7768788	0.06438411	0.0010180228	0.0037306575	0.0010257416	0.0021415683
v	0.034990292	0.84870404	0.10831177	0.0020883682	0.0035436568	0.0019479501	0.00041377422
o	0.09229084	0.5275643	0.084514104	0.034500446	0.12080382	0.05544178	0.0848847
r	0.029886734	0.26348996	0.69222665	0.007569693	0.004362551	0.0017689256	0.0006954461
à	0.06799798	0.2122349	0.2375852	0.11873269	0.10563697	0.082021214	0.17579098
s	0.018466918	0.17174116	0.7618013	0.009576544	0.024177713	0.0114376005	0.0027986963
o	0.025413478	0.22758773	0.6870422	0.046499558	0.00694106	0.0023104378	0.0042054295
o	0.031249039	0.096415445	0.798321	0.03283781	0.026624803	0.009364805	0.005187068
t	0.005739842	0.03695608	0.7462006	0.12807798	0.061798297	0.017501757	0.0037254312
s	0.013624933	0.02397282	0.33705437	0.5646119	0.027146224	0.016024947	0.017564816
o	0.008325488	0.00831128	0.04964473	0.74920577	0.08743747	0.038552962	0.058522347
m	0.013154667	0.0092281	0.08882433	0.06291336	0.33263975	0.24536751	0.24787222
ì	0.0036653588	0.0073026456	0.05447611	0.7914333	0.07090343	0.025640054	0.046579104
k	0.011516067	0.03349055	0.07353293	0.0658586	0.42548108	0.28258252	0.10753825
u	0.0084875515	0.021403046	0.0633765	0.48191667	0.1928515	0.12795775	0.104007
à	0.0133451475	0.018982742	0.02249978	0.03041208	0.2368601	0.21352312	0.464377
i	0.0030340338	0.024914987	0.027738916	0.056586765	0.38193312	0.4688541	0.036938056
m	0.0012317706	0.010461462	0.013066888	0.06476438	0.33973122	0.46835813	0.10238613
è	0.0021616875	0.007184786	0.014534635	0.097935386	0.37105116	0.39800113	0.109131105
r	0.007498262	0.066494495	0.058496986	0.03858116	0.19422083	0.589608	0.045100268
i	0.009868204	0.013391226	0.014767277	0.071597144	0.15133695	0.6030339	0.13600536
</S>	0.015971621	0.018689506	0.018285906	0.017428298	0.037410222	0.12827966	0.7639348
