 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.98425955	0.0072636646	0.0028593952	0.0021039066	0.0021228357	0.0013907665
c	0.9912005	0.007870529	6.866067e-05	0.00036958375	8.8098e-05	0.00040257923
h	0.85215044	0.14119834	0.0037167494	0.0022800486	0.0004881411	0.00016626064
e	0.17141184	0.8117453	0.006762373	0.006751215	0.0018859445	0.0014433791
p	0.33573434	0.6611345	0.00088274834	0.0014788675	0.0005894324	0.00018019481
o	0.014802801	0.98379576	0.0010360368	0.00015595723	0.00013953343	6.9932285e-05
l	0.16863441	0.82784516	0.003052107	0.00032204684	9.951446e-05	4.6863704e-05
e	0.07432801	0.7811974	0.13108836	0.004398925	0.001202387	0.0077849734
m	0.43155947	0.51640034	0.0501353	0.0014003466	0.0001663492	0.00033825557
ì	0.023695879	0.36997902	0.58341783	0.014959293	0.0009217164	0.007026213
s	0.10595656	0.3961881	0.47095907	0.019431353	0.002281061	0.0051839077
o	0.060083527	0.5583747	0.36881965	0.008632447	0.0015677181	0.0025219982
n	0.13152984	0.115641735	0.62507796	0.123972744	0.0014038906	0.002373808
t	0.0025020672	0.051010262	0.9342992	0.009203854	0.0013562673	0.0016283747
a	0.021551033	0.2108752	0.5856493	0.13332325	0.042333927	0.0062672705
ò	0.026233923	0.01879511	0.39241257	0.54037195	0.014644276	0.0075421645
l	0.0035011964	0.025238562	0.6401151	0.29533306	0.034207135	0.0016049929
i	0.01429162	0.124472946	0.65479815	0.17069262	0.02580296	0.009941765
t	0.014030656	0.011347086	0.061429743	0.8209751	0.064195216	0.028022073
i	0.0010696254	0.023518717	0.17751963	0.72144246	0.057996124	0.018453524
n	0.0069293166	0.0072660455	0.03639911	0.54054606	0.30473652	0.104122914
a	0.00094905053	0.012008564	0.09505151	0.48706633	0.3687666	0.036157977
d	0.0054211146	0.007812463	0.041872483	0.22469994	0.6134518	0.106742166
d	0.00026312014	0.0026530589	0.030707242	0.054808367	0.82817185	0.083396286
o	0.0013483665	0.018274006	0.03617751	0.14426869	0.5425482	0.25738323
m	0.004085438	0.049807254	0.03606002	0.124697216	0.48913735	0.2962127
à	0.0025792469	0.0082569085	0.056983642	0.04047373	0.5973561	0.29435045
d	0.016527172	0.105774626	0.21064092	0.14674824	0.437842	0.08246703
a	0.0058882707	0.02844975	0.120458	0.11565515	0.6083345	0.12121434
</S>	0.0087017175	0.013235188	0.09806005	0.22921418	0.26856533	0.38222355
