 	non	mangiare	la	sera	</S>
m	0.9829289	0.00704191	0.005086686	0.0019498497	0.0029925862
i	0.58026403	0.04923046	0.091437034	0.10394055	0.17512791
f	0.16400588	0.6934141	0.08275549	0.049897883	0.009926755
a	0.0068651545	0.7585903	0.048611093	0.050642364	0.13529114
i	0.29258513	0.34219617	0.35594472	0.0041721384	0.005101778
o	0.008335461	0.0393269	0.80349934	0.12606439	0.022773966
v	0.004636682	0.009933026	0.9086147	0.068506	0.008309648
r	0.012307325	0.013396472	0.47766912	0.36000887	0.1366183
à	0.009915049	0.0033495298	0.3265359	0.5278612	0.1323383
i	0.18550591	0.15097202	0.4798961	0.16520335	0.018422548
</S>	0.048784435	0.01600015	0.13969551	0.6138558	0.18166417
