 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
t	0.9584174	0.01734056	0.009303169	0.0016060561	0.0017164159	0.0014361612	0.0011516779	0.0010900162	0.0012038857	0.00020551508	0.005708224	0.0008207948
ù	0.97368026	0.012690461	0.0018040497	0.003213353	0.0010324693	0.0019684623	0.0011487558	0.0012236357	0.0018394069	0.0007130349	0.0004228536	0.00026333402
s	0.97706795	0.022521721	0.00012015825	4.8261143e-05	3.2170075e-05	2.390244e-05	1.8464174e-05	1.8897372e-05	2.2492457e-05	4.532042e-05	4.3627802e-05	3.701355e-05
o	0.45387682	0.47414	0.016985549	0.010514406	0.00622663	0.008694784	0.008107239	0.008166217	0.008189908	0.0014334051	0.0021972319	0.0014678193
t	0.8529509	0.14565307	0.0010396227	6.9312206e-05	4.502302e-05	2.9907029e-05	1.9635647e-05	1.4832242e-05	1.511169e-05	2.7002598e-05	0.00011002668	2.5529536e-05
r	0.18368979	0.7868702	0.008248164	0.0050073257	0.0019970804	0.0033219329	0.0023288291	0.002710869	0.0032500383	0.0007444045	0.0008571938	0.00097412564
a	0.32051286	0.64926475	0.023817806	0.0009344776	0.0010703763	0.00035764818	0.00045116106	0.000687244	0.00096957246	0.00047995074	0.00045682062	0.0009973642
v	0.5668098	0.4079752	0.024655003	0.0002424948	9.249107e-05	3.8595637e-05	2.0070507e-05	1.3193816e-05	1.2969089e-05	2.1606298e-05	0.000101300924	1.73711e-05
ù	0.053474136	0.93727654	0.0055158655	0.0010260419	0.00011024642	0.0006847416	0.000455147	0.0004037316	0.00049626955	0.00015884252	0.0003005389	9.798873e-05
d	0.11591789	0.5420921	0.34060395	0.00095044443	0.00035019894	1.8276764e-05	6.600343e-06	3.4884408e-06	2.5756615e-06	1.4751091e-05	2.7808046e-05	1.1943678e-05
i	0.017658725	0.6875287	0.2811701	0.010536759	0.001176349	0.0005331915	0.00034287115	0.00028419486	0.00036332908	0.00019562626	0.0001599775	4.9988346e-05
ì	0.04282909	0.10426941	0.836617	0.0131111685	0.0029632966	6.5693814e-05	3.2581607e-05	1.6816868e-05	7.714383e-06	5.9835664e-05	1.46695975e-05	1.2685676e-05
r	0.0068625757	0.03111327	0.95505685	0.004384626	0.0022954613	3.19039e-05	8.757145e-06	8.032952e-06	8.692884e-06	2.2567332e-05	0.00011981322	8.740863e-05
t	0.073182344	0.39466017	0.40959153	0.098158665	0.011597607	0.003540364	0.0031861255	0.00227586	0.0022379204	0.0003123657	0.0007046084	0.0005524441
e	0.060922056	0.22796172	0.34631577	0.14070053	0.15341978	0.014277885	0.012317697	0.009455332	0.013092771	0.002174084	0.011694827	0.0076676602
g	0.04838244	0.06628582	0.5059615	0.33658868	0.04146517	0.0006529226	0.0001456093	4.9581904e-05	3.380805e-05	0.00017038053	5.0203307e-05	0.0002139716
