 	non	ho	cosa	è	da	mangiare	</S>
e	0.9943967	0.0023345947	0.0005146294	0.0003493103	0.0011982879	0.00021981803	0.0009867884
n	0.92739934	0.025888124	0.025560306	0.015441538	0.0014411797	0.0010712247	0.0031982232
è	0.08787744	0.7382754	0.13085468	0.026345888	0.0043508513	0.0010663155	0.011229364
c	0.4920261	0.39323717	0.056077022	0.04341475	0.0048270826	0.003056279	0.0073616575
h	0.046982057	0.42313504	0.40302303	0.12409261	0.0022752385	0.000320699	0.0001712629
o	0.043455284	0.10794499	0.35631797	0.4680603	0.02013676	0.0018517706	0.0022328694
t	0.02031375	0.14994532	0.6704648	0.15293773	0.005653272	0.00036803522	0.00031709802
i	0.019702006	0.031613015	0.45929852	0.41978958	0.056626566	0.0012976797	0.011672571
è	0.029672574	0.051044177	0.109033085	0.22245711	0.57474893	0.008574287	0.004469863
n	0.040826187	0.023313085	0.040520184	0.22049777	0.66238457	0.0051671225	0.0072910506
a	0.021631269	0.020604985	0.09512976	0.5884322	0.2657753	0.006835795	0.0015907453
f	0.010632699	0.029796945	0.031827845	0.03571475	0.38855153	0.48375875	0.01971748
à	0.004869925	0.0065464913	0.017698187	0.03180628	0.6531927	0.24977793	0.03610844
o	0.030626178	0.078348316	0.08165274	0.09034018	0.25280035	0.44423732	0.02199494
</S>	0.02742002	0.0041294456	0.006487255	0.022147715	0.19444148	0.47556403	0.2698101
