 	non	sono	andati	</S>
e	0.98995566	0.0018201576	0.0046839095	0.003540292
n	0.5054626	0.39745867	0.047011223	0.050067473
è	0.07181109	0.79271764	0.028749285	0.106722064
c	0.27770162	0.6408198	0.05834501	0.02313365
h	0.12841415	0.85827404	0.00965723	0.0036545617
u	0.17897236	0.6426065	0.13082364	0.047597494
n	0.05114193	0.25487888	0.685974	0.0080051385
e	0.019626677	0.24939474	0.61721975	0.11375881
p	0.067171834	0.037941717	0.7673809	0.12750553
a	0.007853657	0.04046148	0.77019596	0.18148887
m	0.15019141	0.05579293	0.41888693	0.37512875
è	0.006691767	0.021445634	0.66029066	0.311572
n	0.2961239	0.090219215	0.5227434	0.09091351
a	0.08180538	0.29938373	0.40154845	0.21726248
</S>	0.022633431	0.0625208	0.23765837	0.6771874
