 	non	ho	cosa	a	fare	</S>
e	0.99093354	0.0035915272	0.0015153786	0.0018342615	0.0009150427	0.001210254
n	0.88284695	0.03630024	0.032099836	0.023690913	0.012915185	0.012146916
è	0.040483356	0.6745195	0.101839535	0.05805613	0.048423167	0.07667834
c	0.45145616	0.41451564	0.03366386	0.014563742	0.026323104	0.059477452
h	0.03164859	0.6033835	0.30268562	0.046283357	0.013973694	0.0020251977
o	0.060370963	0.10065671	0.4045085	0.21415453	0.16932438	0.050984893
t	0.027323335	0.08823823	0.56178325	0.24479623	0.0678504	0.010008443
i	0.008951715	0.013437902	0.22551164	0.5941155	0.104780115	0.053203106
k	0.014234973	0.013407534	0.036856692	0.24583372	0.635937	0.053730037
à	0.014948576	0.009003421	0.066236734	0.48326313	0.22287364	0.20367451
m	0.045870155	0.03195744	0.04136954	0.22272672	0.59273446	0.06534169
i	0.01635612	0.01402392	0.02614959	0.3973081	0.45774212	0.08842014
</S>	0.023113549	0.0142573025	0.014723565	0.024856849	0.22929263	0.6937561
