 	non	deve	magniare	la	sera	</S>
e	0.99369365	0.00030195608	0.0022475794	0.0011514082	0.0018141466	0.0007912136
n	0.7136207	0.25120103	0.0075762495	0.015553276	0.0036724904	0.008376148
è	0.050633907	0.54086524	0.29821435	0.03571739	0.037422296	0.037146818
n	0.23885864	0.49602166	0.21993387	0.011891873	0.003917376	0.02937656
a	0.12953152	0.7729959	0.08473879	0.005743919	0.0043059085	0.0026839431
f	0.1284455	0.12033422	0.63376	0.10755566	0.0040912745	0.0058133653
à	0.029683955	0.07618427	0.32322794	0.2688886	0.17442149	0.1275938
i	0.23624384	0.09082347	0.34405968	0.30855316	0.006989198	0.01333063
t	0.016552037	0.016644571	0.019437023	0.9058803	0.03266707	0.00881906
o	0.005262335	0.026058707	0.011353891	0.7327433	0.19831224	0.026269564
v	0.00948149	0.00588	0.010221265	0.9135798	0.028841445	0.031995945
r	0.004804178	0.0045375386	0.0036655301	0.3236328	0.59676147	0.06659846
à	0.0046471525	0.004596916	0.001788321	0.33289206	0.47229218	0.18378338
i	0.06368767	0.0347257	0.14133823	0.44907776	0.23976773	0.07140286
</S>	0.02689086	0.014859579	0.017854845	0.088317916	0.63214916	0.2199277
