 	sta	seduta	nel	giardino	</S>
s	0.9877642	0.0039640185	0.0035956614	0.0024135457	0.0022625288
t	0.9146572	0.057708655	0.017081436	0.0066206157	0.0039321412
è	0.8623913	0.112502106	0.009187587	0.0031229497	0.012796055
i	0.33200112	0.6678272	7.662702e-05	6.231349e-05	3.2711283e-05
k	0.07167214	0.92594653	0.0022931234	4.6201938e-05	4.1947562e-05
a	0.34227562	0.60807544	0.04418532	0.0012601068	0.00420345
s	0.16087939	0.80506593	0.03364652	0.000118754404	0.00028947674
i	0.15507747	0.68926007	0.07123506	0.010616875	0.073810525
m	0.07069337	0.7812712	0.14672597	0.0002616772	0.0010478079
m	0.08665954	0.5495888	0.30040035	0.016636774	0.046714522
è	0.083857186	0.27176258	0.48354158	0.102238484	0.0586002
n	0.03263614	0.19745176	0.7555899	0.011560044	0.0027621582
i	0.106389545	0.35625532	0.5290311	0.0051050563	0.003218899
s	0.03293263	0.09061614	0.81123036	0.05439443	0.010826425
t	0.0038272592	0.0648834	0.83176386	0.09134891	0.0081766015
o	0.0065117422	0.07361609	0.7571597	0.14282617	0.019886255
n	0.01993017	0.05811821	0.38871336	0.38977948	0.14345871
g	0.0020229465	0.04402586	0.2821175	0.6502277	0.021605931
h	0.008651398	0.32393822	0.2049713	0.27296776	0.1894713
i	0.0045844866	0.05371125	0.11061857	0.7756442	0.055441514
a	0.0037261143	0.055153035	0.045491733	0.79464597	0.100983135
r	0.0009940782	0.03119106	0.08895138	0.8561367	0.022726804
d	0.0040837736	0.033159394	0.029784383	0.8556456	0.077326864
ì	0.008012412	0.25364894	0.06114889	0.49362832	0.18356143
n	0.013634894	0.1513726	0.1582864	0.62348527	0.05322088
o	0.01842073	0.05606126	0.15203124	0.6192224	0.1542643
</S>	0.009089773	0.021897273	0.029158354	0.38322166	0.556633
