 	deve	che	entra	da	qui	</S>
è	0.9896163	0.0032719932	0.0024188207	0.00046861183	0.003549399	0.00067500956
n	0.830451	0.10979617	0.04462991	0.0043624328	0.0018108547	0.008949697
g	0.16103429	0.7690919	0.06650319	0.0013169931	0.001110372	0.0009432124
h	0.06374127	0.86957675	0.063388266	0.0030650257	0.00020848564	2.0210735e-05
i	0.055037856	0.48841435	0.45298463	0.002832658	0.0004772754	0.0002531155
s	0.17172073	0.19014192	0.6344135	0.0031646914	0.00032866042	0.00023049949
e	0.002367436	0.024527341	0.97083896	0.0014149392	0.0003869507	0.0004644775
n	0.12413761	0.13378277	0.6801576	0.05982666	0.0012065385	0.00088881
a	0.0017182307	0.009408319	0.96568763	0.018534623	0.002703365	0.0019478527
m	0.060241763	0.08066339	0.13358818	0.7080516	0.012111227	0.005343838
b	0.0011039795	0.008585061	0.29994923	0.6376062	0.03766704	0.015088486
i	0.0038887556	0.017916113	0.18876722	0.5712978	0.08602883	0.13210118
a	0.019603118	0.02956229	0.034583397	0.7814486	0.07196672	0.062835895
p	0.0019528392	0.006751822	0.013963627	0.7834017	0.1854106	0.008519347
ò	0.001525886	0.004185194	0.055535056	0.11610885	0.7726276	0.05001741
t	0.01784375	0.02507506	0.0247559	0.18710741	0.6347995	0.110418454
t	0.00451794	0.028110232	0.06350796	0.16047037	0.63068795	0.11270559
ù	0.007039011	0.026377974	0.02904988	0.22469682	0.41828918	0.29454714
</S>	0.010131951	0.01140874	0.013126251	0.08023467	0.56622076	0.31887758
