 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	0.989781	0.0017260094	0.00013144933	0.0023219096	0.0004339338	0.00068370573	0.0037716753	0.0011501956
i	0.92211646	0.0057455488	0.01946037	0.0057386355	0.01948314	0.013117608	0.0103587145	0.003979491
n	0.9957759	0.0035269312	0.00015669322	0.00021231326	0.00011354213	5.958372e-05	0.00011836852	3.6683512e-05
a	0.82283807	0.048076507	0.020732617	0.010778269	0.026430437	0.009721492	0.014956954	0.046465706
d	0.86062366	0.1351761	0.0025617308	0.0006361018	0.00064487883	0.00011313762	0.00020969342	3.4715045e-05
r	0.5138426	0.40982264	0.025042597	0.00033703295	0.024512429	0.022755709	0.0026398285	0.0010472436
e	0.34302813	0.12914015	0.39607713	0.011865427	0.08642763	0.026000181	0.0020871698	0.0053740363
f	0.20844549	0.61765033	0.16916966	0.0016701465	0.0017931082	0.0010431744	0.00019354944	3.4544497e-05
f	0.22718759	0.60727715	0.06316874	0.005964683	0.038672872	0.02277739	0.011690995	0.02326052
ì	0.20044026	0.047075335	0.49190417	0.034736715	0.13721143	0.066956356	0.0026214928	0.019054327
m	0.15624318	0.40465948	0.326645	0.036962204	0.04462505	0.02276386	0.0021972249	0.005903996
m	0.024973499	0.16173998	0.7185357	0.029701462	0.04816461	0.014393009	0.0020079135	0.00048375098
u	0.023196554	0.15330063	0.38451838	0.08204815	0.26555818	0.087588176	0.0008545765	0.0029353444
a	0.026474752	0.13658676	0.47629577	0.29699865	0.058190048	0.0030828884	0.0011957932	0.0011753072
n	0.008520439	0.030230083	0.28402928	0.13660206	0.40277362	0.118513815	0.0145967575	0.0047339466
k	0.02818544	0.082809016	0.18393357	0.12733029	0.35305125	0.075434595	0.050415784	0.09884005
ò	0.031358737	0.037074715	0.07856182	0.06728069	0.42298672	0.20056352	0.04014961	0.122024104
r	0.02727157	0.14860506	0.3145175	0.19512556	0.18441716	0.0783234	0.037441984	0.014297752
a	0.007981336	0.020616455	0.06579085	0.16235928	0.46346453	0.24503511	0.031808402	0.0029440848
e	0.026841626	0.14344338	0.25848827	0.34108803	0.13841496	0.047399353	0.015503812	0.028820576
n	0.0011156901	0.0048896833	0.029846348	0.011594335	0.1540492	0.46177152	0.3322878	0.0044453978
ì	0.013069945	0.03685065	0.10710958	0.068100505	0.18663514	0.18190633	0.32164684	0.08468103
r	0.011057381	0.051803544	0.09214886	0.013631475	0.0248805	0.21166079	0.58950895	0.0053084753
t	0.00800627	0.017566359	0.040186338	0.032027166	0.10298215	0.5855469	0.17002298	0.04366184
e	0.0037051823	0.043348234	0.048464265	0.03943657	0.013899375	0.07227538	0.5038017	0.2750693
e	0.008443503	0.015940234	0.033743933	0.053266052	0.011123417	0.024798946	0.6091756	0.2435083
t	0.00036766232	0.002715165	0.009557308	0.007998013	0.0045035956	0.016044464	0.8979112	0.06090261
t	0.00061746547	0.0014356379	0.008934906	0.0049640993	0.013435997	0.019072786	0.8791427	0.07239647
ù	0.000674329	0.0024153832	0.010197258	0.0074145673	0.010272777	0.012584999	0.8070416	0.14939912
</S>	0.0045672767	0.020414075	0.057811048	0.058575347	0.0074979477	0.0053266566	0.5883919	0.25741577
