 	era	molto	stanco	</S>
ì	0.7282041	0.10461867	0.12204624	0.045130953
o	0.9316025	0.053439043	0.0012598198	0.013698651
n	0.94193476	0.05729501	0.0005202783	0.00025010787
e	0.79372877	0.19775626	0.003805121	0.0047099018
p	0.048797015	0.95051366	0.00049290503	0.00019647616
o	0.083977096	0.89220065	0.013430098	0.010392074
d	0.19683301	0.776637	0.014967917	0.011562067
d	0.06761339	0.61215115	0.25317216	0.06706328
h	0.050855294	0.64609563	0.066680595	0.23636845
ì	0.020339068	0.20953897	0.7115249	0.05859704
s	0.10628592	0.542034	0.3036784	0.048001744
t	0.058273386	0.18326293	0.7321252	0.026338436
r	0.018306501	0.19739646	0.5797053	0.20459178
à	0.0041770185	0.15835674	0.58499	0.2524762
k	0.0432606	0.028087767	0.1779704	0.7506812
k	0.005425626	0.039472513	0.8381512	0.11695055
o	0.0017529948	0.027447464	0.8364654	0.1343341
</S>	0.0131167015	0.0051429486	0.054879677	0.92686063
