 	ho	rotto	una	bottiglia	</S>
è	0.9847274	0.007592794	0.0023378308	0.0043037357	0.0010383469
g	0.90732855	0.06715153	0.009320853	0.006332443	0.009866646
l	0.06761701	0.9305591	0.001683624	8.673259e-05	5.3453306e-05
a	0.017933674	0.97892445	0.0026348887	0.00041557668	9.152484e-05
s	0.7238847	0.27218023	0.0033566274	0.000369853	0.00020858803
a	0.011606152	0.97749966	0.008588832	0.0014321008	0.0008730819
m	0.546296	0.17225249	0.277813	0.002300155	0.0013384469
i	0.0071020783	0.2646988	0.7189624	0.0068892734	0.0023474526
a	0.09751043	0.0683266	0.78937066	0.024923423	0.019868886
b	0.0024423434	0.014718565	0.9603538	0.020625545	0.0018598203
u	0.0056584324	0.10388601	0.74861324	0.05419945	0.08764278
t	0.026560113	0.021649884	0.3493805	0.53008443	0.07232512
t	0.011599925	0.07022863	0.62647474	0.24605814	0.045638584
ì	0.0040817573	0.04244939	0.54114354	0.32386807	0.08845727
g	0.006535988	0.00256009	0.074181765	0.8852292	0.031493008
l	0.0015094529	0.0492772	0.15848716	0.77156115	0.019165048
i	0.0038914047	0.059710212	0.22211763	0.54552025	0.16876043
a	0.0046403664	0.002405567	0.04729096	0.6767926	0.2688704
</S>	0.002207769	0.022104759	0.1433547	0.5959434	0.23638943
