 	hai	già	mangiato	</S>
è	0.9901215	0.0009747314	0.0074317483	0.0014720329
c	0.8318494	0.13299765	0.0130882505	0.022064727
h	0.7693292	0.22155657	0.008566554	0.00054758973
i	0.16362539	0.52223486	0.28268525	0.0314545
g	0.041143022	0.19838977	0.755506	0.004961242
i	0.039305553	0.72464424	0.18985209	0.046198074
à	0.019967332	0.40675372	0.5169896	0.0562894
f	0.014726411	0.1090778	0.8438367	0.032359038
a	0.08858009	0.25038853	0.5058686	0.15516275
m	0.13488957	0.13352919	0.3742645	0.35731673
è	0.005717855	0.24465492	0.29227814	0.45734903
n	0.103754	0.11522611	0.56624275	0.21477717
a	0.022617638	0.19293503	0.44825828	0.33618903
</S>	0.07757807	0.14326975	0.11272454	0.6664277
