 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.95356774	0.027812637	0.0074356375	0.00666902	0.00049240293	0.0010257417	0.0020947952	0.000901926
p	0.78832877	0.20989515	0.0011992307	0.00044820333	1.2218417e-05	2.9016675e-05	6.2121355e-05	2.5320674e-05
e	0.41821164	0.5557376	0.020935008	0.0038311586	3.8979048e-05	0.0004759731	0.0005882154	0.00018143503
t	0.42222288	0.54057705	0.035849243	0.001206616	8.814752e-06	2.8307102e-05	9.968671e-05	7.3177353e-06
à	0.49492818	0.27513254	0.12794611	0.05951148	0.002449842	0.006593833	0.0077303587	0.025707578
c	0.084992364	0.68120503	0.22677179	0.0069245887	1.5679656e-05	1.1237111e-05	5.5872064e-05	2.3495139e-05
i	0.20980911	0.37885526	0.31864962	0.09223889	0.000192586	7.521441e-05	0.00010121264	7.813972e-05
a	0.14724709	0.37631947	0.3480078	0.12430242	0.0031119143	0.0004592874	0.00035825683	0.00019382453
k	0.038918484	0.28387105	0.58405644	0.092198886	0.00024836423	0.00014003237	0.00019497177	0.0003718239
è	0.10683518	0.15548423	0.18771957	0.32876432	0.1041239	0.007614792	0.009682751	0.09977525
c	0.03273361	0.21850139	0.54483896	0.1739673	0.023054048	0.0010551165	0.0033600563	0.0024895314
c	0.036367834	0.05167483	0.08619379	0.3099012	0.50719976	0.0057196454	0.00060820044	0.002334699
i	0.12221306	0.23342247	0.24085395	0.2902081	0.100784756	0.0056680907	0.0005920674	0.0062574614
a	0.0508383	0.08670705	0.34153795	0.31974924	0.18072155	0.007513482	0.0013125404	0.011619839
u	0.0128831705	0.05424841	0.30278534	0.41635916	0.11878641	0.07547505	0.0109163085	0.008546133
s	0.039186843	0.15864363	0.31588882	0.16607088	0.1477598	0.14403236	0.007836241	0.02058138
e	0.020109931	0.03660653	0.06116368	0.029994724	0.54554003	0.17570756	0.05550274	0.07537482
n	0.0070342734	0.01094517	0.054906156	0.021661535	0.06481295	0.75904584	0.07069853	0.010895514
d	0.013309894	0.0127964355	0.02633139	0.027796768	0.6869489	0.14357665	0.034827314	0.05441267
ì	0.020835202	0.08330542	0.10042488	0.015304878	0.026975697	0.43878734	0.20619798	0.10816854
n	0.028616397	0.0891742	0.311898	0.063604996	0.10314993	0.35737815	0.03753224	0.008646108
n	0.018481083	0.01383788	0.03161959	0.035145067	0.42313161	0.41317594	0.02862264	0.035986118
u	0.0017854084	0.002482224	0.013037873	0.0067450167	0.048937187	0.43939686	0.21964678	0.2679687
n	0.00026874497	0.0005779209	0.0020594706	0.0007438308	0.005925794	0.77965707	0.17380632	0.03696081
e	0.0032202846	0.006581633	0.013484503	0.008299807	0.026376612	0.53423786	0.2967501	0.1110492
i	0.00039236178	0.0008899175	0.0042805467	0.0013562648	0.002524734	0.10749064	0.77932185	0.10374367
g	0.0015575695	0.003094328	0.004816978	0.0034705317	0.005573563	0.25851208	0.64262676	0.080348164
e	0.005496888	0.013155196	0.02163859	0.010326665	0.001736275	0.054324187	0.44721383	0.44610834
n	0.0047490983	0.0103355795	0.016715044	0.009019749	0.006524937	0.27622092	0.6017512	0.07468342
i	0.008919693	0.014189664	0.022874737	0.012887229	0.022097377	0.23762175	0.51872784	0.16268167
t	0.00018591988	0.00060398394	0.0045403545	0.0014904815	0.0013139412	0.07073267	0.8720001	0.049132533
ò	0.013417699	0.016517451	0.022924744	0.015869293	0.031100957	0.12770534	0.40537202	0.36709252
r	0.003196864	0.0065939757	0.032114256	0.016992783	0.017170608	0.05804573	0.8090577	0.056828175
i	0.015413679	0.015774077	0.016140193	0.015952542	0.021233078	0.09413146	0.6478487	0.17350622
</S>	0.0019517224	0.002132903	0.0058382247	0.003101758	0.013781536	0.058075175	0.46012446	0.4549943
