 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.9734231	0.0024236355	0.0066826153	0.0046219467	0.0012650453	0.0018477379	0.0052813245	0.0044544926
n	0.8072788	0.05192641	0.12692052	0.0063275723	0.003514453	0.0022803787	0.00076775084	0.0009841442
è	0.087919705	0.4375286	0.41961178	0.032491975	0.015004473	0.002278747	0.0017784478	0.0033862847
r	0.025606984	0.14808303	0.80981964	0.014269893	0.0012408164	0.00019546947	0.00020679978	0.000577445
t	0.05105769	0.5387777	0.39709157	0.009296635	0.0015421921	0.000854177	0.00082786236	0.0005521907
i	0.0729165	0.07238583	0.82555264	0.0127862925	0.0073242057	0.003816714	0.0024808666	0.0027369603
s	0.021542603	0.09939495	0.8580665	0.020585774	0.0002719823	8.0680555e-05	3.9379138e-05	1.8167524e-05
t	0.015482368	0.07071301	0.7194393	0.17379595	0.015741823	0.0019899595	0.0018047073	0.0010328343
e	0.08490791	0.060555473	0.61930937	0.19345741	0.03385775	0.002867278	0.0026223955	0.002422379
s	0.036839128	0.06500057	0.37087044	0.51388496	0.012628759	0.0005242504	0.0001225698	0.00012924956
e	0.0067135156	0.016706401	0.08221197	0.622762	0.26607037	0.0024499148	0.001707364	0.001378497
t	0.06535479	0.08487821	0.13375211	0.40171117	0.3035467	0.008510968	0.0011472823	0.0010987845
t	0.0017936069	0.003855743	0.010732534	0.3101588	0.66912097	0.0026622305	0.0008957611	0.00078034354
à	0.0069261864	0.009848274	0.03401979	0.08702349	0.8534171	0.005198565	0.0022384978	0.0013281971
e	0.03769758	0.047881614	0.063202225	0.15765917	0.51979476	0.15097685	0.015671832	0.00711592
v	0.0022054154	0.0020752447	0.008353579	0.011165314	0.62856704	0.32331923	0.019724855	0.0045893206
ò	0.0030752553	0.0029259704	0.009240864	0.04198029	0.56450063	0.33614367	0.021211918	0.020921476
s	0.015321575	0.0151903685	0.018806577	0.01848177	0.111955106	0.6981915	0.101286635	0.020766394
t	0.023538576	0.01502915	0.026673896	0.045307968	0.27622256	0.53325856	0.05396973	0.025999581
e	0.010499518	0.0065110778	0.014010251	0.009665471	0.16540454	0.5479195	0.0993987	0.14659096
m	0.0025212704	0.0034370208	0.003705349	0.003890549	0.006945224	0.21588409	0.6107285	0.15288797
a	0.0006954781	0.0008615276	0.0026106746	0.0058323345	0.027640734	0.37257996	0.5264058	0.063373506
r	0.0014701021	0.0025580006	0.0031396833	0.0031278322	0.0077913012	0.13884343	0.6726785	0.1703912
è	0.002041627	0.0024466391	0.0032986347	0.0085568605	0.024477877	0.11150454	0.7229446	0.12472928
o	0.0070042433	0.0066781784	0.0076558357	0.007094939	0.028248373	0.13530841	0.66207135	0.14593874
</S>	0.00986254	0.0048548128	0.014611329	0.008423965	0.055530522	0.14693658	0.48241144	0.2773688
