 	non	sono	ancora	vestita	</S>
e	0.9978363	0.00026296978	0.0005697478	0.00042500207	0.0009059143
n	0.6683837	0.30058914	0.013778688	0.0043463116	0.012902125
ì	0.10651298	0.6883925	0.12117207	0.0052158283	0.07870658
m	0.45101434	0.4170278	0.07191086	0.007115014	0.05293197
e	0.108443044	0.78688765	0.10124003	0.0011256358	0.0023036206
a	0.068253264	0.044311076	0.8702073	0.007622391	0.009605897
n	0.04696678	0.0951685	0.77274734	0.035431985	0.049685374
k	0.06928069	0.15745834	0.19812438	0.25521672	0.31991985
ò	0.05009133	0.062455203	0.13392806	0.37996683	0.37355864
r	0.093089685	0.06897396	0.53973174	0.23533055	0.062874034
a	0.049335506	0.2729598	0.31297764	0.2302854	0.13444169
e	0.031295888	0.044112332	0.28834903	0.509214	0.12702881
n	0.0058442764	0.0071180956	0.07631607	0.89107144	0.019650033
d	0.0073309746	0.038860906	0.023361437	0.78928274	0.141164
i	0.038233854	0.005771942	0.07537265	0.64536065	0.2352609
m	0.013646784	0.017278394	0.035297126	0.44461486	0.48916292
è	0.0062845577	0.0064721983	0.012092157	0.50509715	0.470054
n	0.07903551	0.024944685	0.4089866	0.40123463	0.08579852
i	0.05194921	0.06771533	0.20299646	0.52681327	0.1505257
</S>	0.016246296	0.016481753	0.16991864	0.20138416	0.59596914
