 	io	voglio	che	Maria	venga	qui	</S>
e	0.9552018	0.0039156377	0.0029723884	0.0052281446	0.010638748	0.017332887	0.0047103246
v	0.9417239	0.05091966	0.00051587005	0.0048537776	0.001738886	0.00017770354	7.020751e-05
ò	0.7994994	0.12586701	0.014820645	0.046139836	0.008231351	0.0042927284	0.0011490326
t	0.50422764	0.48348358	0.006383396	0.004727179	0.0010995744	6.300856e-05	1.5615298e-05
è	0.12140788	0.7325872	0.05528349	0.07972887	0.0073266057	0.0025939918	0.0010720912
l	0.18153588	0.4275348	0.27420896	0.11090578	0.005723563	4.4409244e-05	4.662432e-05
o	0.016402593	0.11761749	0.37285367	0.4699495	0.022727286	0.00017274145	0.00027670382
n	0.20638993	0.19863324	0.57016444	0.022987368	0.00149291	0.00026482783	6.731922e-05
a	0.0078079104	0.047599737	0.3817224	0.46281254	0.0983285	0.0012343427	0.0004946372
r	0.21280879	0.16510828	0.58087087	0.030208116	0.0095041115	0.0010218886	0.00047793708
t	0.013661131	0.028500013	0.33604592	0.36237532	0.242045	0.009412574	0.007959986
i	0.018327422	0.036078066	0.26467746	0.13929944	0.53177524	0.0043803183	0.0054621096
e	0.19019543	0.18489446	0.46770427	0.1003233	0.045813736	0.0025797286	0.008489006
M	0.0028039522	0.006075311	0.12714684	0.43780243	0.41736886	0.004882248	0.003920362
a	0.06919713	0.07095401	0.048050307	0.3055274	0.4994843	0.0019660364	0.004820829
r	0.061500777	0.07402393	0.3667772	0.35444218	0.13210404	0.0038287935	0.007323156
ì	0.027948553	0.08300364	0.32182512	0.23363495	0.21893886	0.0948919	0.019757072
a	0.09606559	0.09863045	0.32685283	0.42914495	0.03819286	0.0038367163	0.0072765527
e	0.07274342	0.079171196	0.35535222	0.32695547	0.09620622	0.03708183	0.032489635
t	0.011345332	0.030146422	0.21697237	0.49582064	0.15224122	0.06377286	0.029701062
t	0.014317961	0.040968962	0.116844594	0.35346746	0.3631188	0.08019026	0.031091945
ù	0.0069004754	0.019422874	0.108703084	0.281433	0.39139125	0.16126257	0.03088674
</S>	0.076244086	0.07589094	0.12239792	0.16834585	0.021911927	0.2927028	0.24250646
