 	il	ladro	poteva	entrare	da	qui	</S>
o	0.96769184	0.009493461	0.0016617102	0.0033619897	0.0011869972	0.013878853	0.0027250927
l	0.98578566	0.010962081	0.0025376314	0.00042234708	0.00010968397	0.00011390621	6.877043e-05
à	0.4191996	0.4590097	0.099704854	0.016705325	0.0004334564	0.0013390039	0.003608143
d	0.1742373	0.7008736	0.11451586	0.010147562	4.277173e-05	0.0001333578	4.957398e-05
r	0.112765074	0.51054627	0.35747018	0.018919803	0.00018055894	7.8461824e-05	3.9541486e-05
o	0.15325847	0.44406128	0.36356413	0.032925602	0.0038524638	0.0007155827	0.0016224817
ì	0.038343996	0.46766752	0.48747817	0.006431837	4.3948636e-05	1.8283288e-05	1.634868e-05
s	0.019292288	0.13124819	0.7872135	0.060759455	0.00059909205	0.00039676437	0.0004907139
o	0.037816554	0.17090543	0.6630557	0.1219191	0.0030662776	0.0021738738	0.0010629307
z	0.063624896	0.111950606	0.21545371	0.5989253	0.009142514	0.0003409359	0.0005620241
e	0.007034171	0.035429284	0.24192019	0.70654714	0.0059606843	0.0016139682	0.001494618
è	0.075244255	0.08852996	0.09781783	0.4206594	0.30620164	0.0047275643	0.0068193106
m	0.01934852	0.043970574	0.077552825	0.7162947	0.10454776	0.03387911	0.0044064596
b	0.004472694	0.015076636	0.018783184	0.50262946	0.4208925	0.02792007	0.010225462
i	0.013845368	0.05445353	0.057221416	0.42941684	0.3256658	0.07747265	0.04192436
a	0.011019773	0.012186306	0.012451886	0.021481946	0.84217453	0.06302032	0.037665218
p	0.0022234195	0.0027598585	0.0028240609	0.0077977316	0.84312016	0.12886414	0.012410721
ò	0.0022572065	0.005111999	0.013908784	0.030410135	0.23457731	0.67636305	0.037371475
t	0.010196168	0.011247158	0.010944985	0.01739327	0.1883216	0.666867	0.09502987
t	0.0057538906	0.015183121	0.012935822	0.051466912	0.25452688	0.5242453	0.13588798
u	0.00622071	0.008320826	0.007323761	0.031829573	0.26924208	0.34154785	0.33551514
</S>	0.0046459623	0.005915774	0.006584702	0.007134605	0.098614685	0.27663508	0.60046923
