 	non	ha	che	li	aspettiamo	</S>
e	0.98853976	0.0013573036	0.0018108007	0.0075115794	0.00029855527	0.00048207678
n	0.7532362	0.19340917	0.010890621	0.02623203	0.0031216377	0.013110344
è	0.049080327	0.6319889	0.10357408	0.13467014	0.0023135329	0.07837305
n	0.20588641	0.5322555	0.206921	0.011083324	0.0041606454	0.039693113
a	0.062493842	0.6576857	0.27403954	0.002612601	0.00041486003	0.0027535746
t	0.079520814	0.14983103	0.6934859	0.055956844	0.0075434456	0.013661923
u	0.040689647	0.09246436	0.51380473	0.15791567	0.00856681	0.18655881
s	0.06364029	0.05662606	0.11682956	0.68308836	0.038243175	0.041572552
m	0.077967025	0.07402806	0.3139892	0.17129275	0.035749055	0.32697397
ì	0.025003487	0.006715914	0.00890867	0.913908	0.0247972	0.02066682
n	0.004333844	0.011457531	0.016714802	0.86476374	0.05504177	0.047688283
o	0.036407992	0.070201166	0.16433193	0.5227768	0.11336278	0.09291931
m	0.015482932	0.044810303	0.051755853	0.1704673	0.5991227	0.11836092
e	0.004485792	0.0059948526	0.005679256	0.7243738	0.08227355	0.17719272
</S>	0.025321502	0.015444561	0.027342586	0.07438833	0.14519629	0.7123067
