 	credo	che	stanno	ancora	svegli	</S>
p	0.9053737	0.027309533	0.0138918115	0.0065284264	0.04282286	0.0040736436
i	0.96073604	0.0034150232	0.02656242	0.0026111414	0.0026270007	0.004048458
s	0.96515447	0.03401269	0.00044007928	6.153105e-05	0.00025892426	7.238212e-05
t	0.90663046	0.024238981	0.06145348	0.0038472542	0.0022520653	0.0015778653
è	0.86550725	0.08558789	0.028187927	0.013957872	0.0018778616	0.004881135
o	0.075226314	0.9142912	0.010264149	7.2358045e-05	6.2243904e-05	8.3797386e-05
k	0.015694203	0.9191164	0.06506666	8.70201e-05	1.543083e-05	2.0220403e-05
a	0.16942579	0.6488792	0.17923173	0.0015856529	0.0001773469	0.00070025603
s	0.03419497	0.5986115	0.3664281	0.0004944857	0.00013252269	0.00013854183
t	0.09854505	0.3017988	0.5849813	0.0017775918	0.006222496	0.0066747135
è	0.2770466	0.20678906	0.48874465	0.009494645	0.006122475	0.011802578
o	0.026545836	0.18735681	0.78114796	0.002505695	0.0005140183	0.0019297113
n	0.008103697	0.04070201	0.9297184	0.020282833	0.00084210886	0.0003509647
e	0.15503627	0.2247025	0.5320852	0.061108135	0.004490126	0.02257776
a	0.014120195	0.021337502	0.30274823	0.65155756	0.005954897	0.004281597
n	0.014723219	0.026897324	0.66315097	0.26215035	0.029380715	0.0036974153
k	0.13646983	0.13326111	0.38399443	0.16849652	0.037269056	0.1405091
ò	0.048451647	0.06867087	0.3539798	0.2973125	0.06343003	0.16815515
r	0.020750014	0.027206942	0.22500084	0.47729698	0.20650482	0.04324034
a	0.06370686	0.080499716	0.16931503	0.40216324	0.24995853	0.034356676
a	0.016236065	0.021583708	0.058953952	0.8571893	0.019270584	0.026766457
t	0.006983039	0.010160277	0.17156024	0.28069258	0.5105484	0.020055441
s	0.075025804	0.08627555	0.21199228	0.14095573	0.27918166	0.20656897
ù	0.014409413	0.017059732	0.09001396	0.06656591	0.5630342	0.2489168
n	0.0035935934	0.0033288803	0.038417563	0.10312561	0.70685405	0.14468032
n	0.046887126	0.06747703	0.08510149	0.11804664	0.34593973	0.336548
i	0.0030572934	0.010150456	0.034551963	0.08569955	0.41292685	0.45361382
t	0.0019437503	0.0024005226	0.016439226	0.10696341	0.6960904	0.17616272
i	0.009814146	0.011684173	0.073979	0.078182116	0.38895798	0.43738258
</S>	0.0007575117	0.0008755669	0.014986941	0.057268027	0.2099869	0.7161251
