 	non	ti	dimentichiamo	mai	</S>
e	0.9919184	0.00041020362	0.0035490417	0.0022694543	0.001852884
s	0.24381872	0.7126416	0.025810555	0.009217843	0.008511213
e	0.05811739	0.33391652	0.3538402	0.10748342	0.14664242
a	0.23435451	0.41177	0.25800297	0.06251339	0.033359088
l	0.015275436	0.21201795	0.68076015	0.037112296	0.054834254
l	0.029963886	0.04828153	0.6339377	0.06530524	0.22251165
i	0.012337311	0.050755966	0.7676958	0.07845964	0.0907513
m	0.36507484	0.12837937	0.47231728	0.02863808	0.005590392
o	0.015072905	0.033234935	0.8109628	0.11946147	0.021267816
n	0.050966036	0.15718132	0.38088125	0.3879963	0.022975154
ù	0.034061737	0.054764032	0.50974303	0.18006125	0.22136998
m	0.23703748	0.069916	0.37247214	0.29610708	0.024467275
e	0.04434361	0.03675586	0.46792457	0.30644357	0.14453231
m	0.06340486	0.009073733	0.04769683	0.7231128	0.15671173
à	0.0043385797	0.015900336	0.09690928	0.7474507	0.13540113
i	0.16248974	0.10864982	0.19035277	0.41193336	0.12657428
</S>	0.069937006	0.049779758	0.13095334	0.45442528	0.29490465
