 	l	ho	sentito	quando	veniva	</S>
t	0.9839702	0.0013980148	0.00020496729	0.0028272972	0.009430528	0.002169068
o	0.92105114	0.02196283	0.009376864	0.003936262	0.037280694	0.006392191
n	0.7957163	0.19895233	0.0048185345	0.00015134929	0.00029243968	6.90633e-05
ì	0.5747547	0.27363825	0.11430404	0.0019214627	0.019110452	0.016271034
k	0.16256677	0.7462122	0.089890085	0.0011727848	0.00010787645	5.026749e-05
u	0.063263565	0.6230218	0.2998526	0.012590935	0.0007704503	0.00050064974
s	0.14048885	0.37285078	0.45291075	0.033171408	0.00048366573	9.46063e-05
a	0.02061243	0.07783343	0.71581656	0.183305	0.0017415895	0.000690944
m	0.19006273	0.24068524	0.26526064	0.29702616	0.0063714744	0.00059371896
ò	0.0068037766	0.013080741	0.08271492	0.8764441	0.019837033	0.001119426
t	0.11389872	0.20184954	0.20076293	0.43790042	0.042691354	0.0028970747
t	0.028438393	0.03485632	0.29218435	0.59908676	0.043700878	0.0017332536
e	0.031913627	0.032041248	0.09023157	0.48113397	0.3339032	0.030776454
è	0.041871704	0.056999747	0.056177896	0.06914525	0.73998296	0.035822425
r	0.0066459505	0.011071055	0.014075329	0.06547229	0.8971469	0.005588462
k	0.01628159	0.024364186	0.19498435	0.4566148	0.28799674	0.0197583
a	0.004152481	0.0069828755	0.029625261	0.3314911	0.5659753	0.061773
t	0.020023333	0.022049626	0.022295486	0.009245504	0.70224696	0.22413911
o	0.0014984857	0.0025391814	0.017881554	0.09598271	0.8449067	0.037191328
</S>	0.016961087	0.018658891	0.019900497	0.024137707	0.5266755	0.39366624
