 	ha	che	sono	usciti	</S>
è	0.9845441	0.007908223	0.0025706522	0.0036185274	0.0013585773
n	0.7963382	0.11844641	0.029184742	0.031318862	0.024711877
a	0.4433175	0.53063303	0.009226706	0.01580243	0.0010203375
g	0.16338074	0.30622232	0.020094555	0.5084621	0.0018402766
u	0.01032766	0.75298125	0.1368151	0.09452331	0.0053525926
ì	0.0095297815	0.07095094	0.48467565	0.41652748	0.01831618
k	0.048750117	0.06807471	0.25325572	0.62562907	0.0042903107
a	0.052442364	0.44864053	0.2862455	0.20670664	0.0059649283
n	0.16116454	0.08810053	0.12778214	0.5218623	0.10109047
e	0.0017416955	0.052884508	0.7495724	0.1613712	0.034430176
</S>	0.08598434	0.10763868	0.13869184	0.22221237	0.44547275
