 	viene	fabbricato	</S>
è	0.9310321	0.058778446	0.010189428
r	0.9955165	0.0023713098	0.0021122266
k	0.9980089	0.0018228355	0.00016826413
e	0.9510428	0.04181836	0.007138863
t	0.22521329	0.71701956	0.057767186
e	0.8180117	0.1558494	0.02613891
f	0.13505599	0.7706514	0.094292685
a	0.069686994	0.86129975	0.06901325
b	0.09557188	0.72454953	0.17987862
b	0.042839594	0.740327	0.21683343
r	0.041766748	0.5218044	0.43642884
i	0.04993358	0.41767243	0.53239405
k	0.04828917	0.352164	0.5995468
à	0.114756174	0.6412903	0.24395348
t	0.14963853	0.676774	0.17358744
o	0.047381945	0.4444806	0.5081374
</S>	0.03024218	0.25298336	0.71677446
