 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.9595731	0.022417556	0.0037520446	0.0032252364	0.005951517	0.0015129279	0.0004999807	0.00042515586	0.00010008744	0.00040860448	0.0004158374	0.00019154185	0.00042457622	0.0005071551	0.00027307	0.00032162288
k	0.34218812	0.6569427	0.00037504322	0.00022163316	6.9359645e-05	5.0371415e-05	1.5952382e-05	1.9215786e-05	5.3228014e-06	2.4677698e-05	1.0646014e-05	1.0403833e-05	1.5524183e-05	1.6958906e-05	1.6709171e-05	1.7360297e-05
è	0.44644603	0.48862368	0.04908407	0.004143833	0.0019397838	0.0026662836	0.0006357466	0.0010337525	0.00011110564	0.0011567672	0.0013082514	0.0005662349	0.001115755	0.00059526425	0.00021919944	0.00035428655
c	0.20966953	0.757909	0.023104714	0.00544315	0.0013923757	0.0021465085	9.9711455e-05	4.0005587e-05	3.939783e-05	5.7280555e-05	9.850858e-06	1.2618004e-05	6.7815167e-06	1.2796753e-05	1.9617111e-05	3.6729856e-05
c	0.34317532	0.48366943	0.16720271	0.0034360464	0.0010801421	0.0006706438	4.407368e-05	0.00014226671	6.325874e-06	0.00013407205	0.00016667691	1.1659356e-05	0.00017940692	5.5357646e-05	1.7012722e-05	8.921474e-06
i	0.53234076	0.36060783	0.08137239	0.007699112	0.010970499	0.0034565346	0.00045596896	0.0004986667	1.9377116e-05	0.00046846722	0.0007838925	0.00014670182	0.0008580743	0.00018287908	0.00011334551	2.5508685e-05
a	0.11098925	0.52947205	0.31219548	0.034740638	0.0040628365	0.007330783	2.3533185e-05	0.0002437266	9.307285e-06	0.00015905996	0.00020780931	4.6914476e-05	0.00026906581	0.00015339712	6.89556e-05	2.7252281e-05
a	0.083668955	0.5099509	0.30556747	0.07114156	0.017944582	0.011329705	2.1112284e-05	0.000101886675	3.121662e-06	7.64216e-05	5.336477e-05	1.0310601e-05	7.677311e-05	3.5707068e-05	1.0433105e-05	7.725635e-06
r	0.12639199	0.5081125	0.18962862	0.09577573	0.06436252	0.013202277	0.00024952184	0.0009904387	1.43854695e-05	0.00064993283	0.00019748593	1.7596893e-05	0.0003163052	4.9839444e-05	2.566513e-05	1.5194446e-05
è	0.083129734	0.1997329	0.3081757	0.26427728	0.036741808	0.05471615	0.024958644	0.008896067	0.0024423362	0.008587609	0.0011323994	0.0005152933	0.0012128082	0.0005266694	0.00035827555	0.0045962795
t	0.015633428	0.078900576	0.2814963	0.53700316	0.019036906	0.06274125	0.0021588218	0.0013649224	0.00080025056	0.00065084454	4.8675276e-05	1.6796204e-05	2.8031036e-05	9.555524e-06	1.3831606e-05	9.6653e-05
i	0.07130989	0.067700885	0.3601928	0.2877247	0.08310508	0.103494614	0.011450018	0.0033628615	0.0021562777	0.0021650153	0.0034388555	0.0011754476	0.001293297	0.0008365932	0.00019143327	0.0004022554
e	0.014467906	0.018724076	0.06788806	0.10057494	0.5653241	0.20941493	0.02252678	0.0007302599	0.00022991012	5.7011937e-05	3.256513e-05	2.9806808e-06	8.26338e-06	8.195095e-06	2.5062511e-06	7.5078588e-06
s	0.0012762242	0.011109981	0.08063546	0.41200522	0.21157318	0.27042708	0.004855721	0.004855955	0.0001434175	0.0014013293	0.00077441096	1.5962496e-05	0.00069832645	5.5134533e-05	2.1222046e-05	0.00015133078
ò	0.01168821	0.033788823	0.14296968	0.1341291	0.059928145	0.4558077	0.09426742	0.023244018	0.016319485	0.012029544	0.0026169529	0.00035322914	0.0017240152	0.00029012226	0.00028845825	0.0105551975
z	0.013496601	0.030357987	0.101154834	0.16024674	0.12950285	0.48103005	0.056167237	0.018204032	0.006580305	0.0015521538	0.0010798272	2.9772817e-05	0.00022341937	3.7509486e-05	3.155502e-05	0.00030518766
u	0.01703525	0.023000851	0.08210376	0.082604654	0.10894363	0.1590237	0.33877188	0.082438685	0.08975308	0.010113555	0.003129793	0.0008003354	0.0010550915	0.00043878754	0.00017337922	0.0006135726
n	0.016148932	0.017313423	0.029230226	0.035849895	0.15146412	0.16553356	0.468502	0.08361179	0.017300561	0.009584085	0.004058746	0.00025315105	0.0005968414	7.554373e-05	7.089391e-05	0.0004062694
f	0.004140714	0.012464816	0.05922056	0.07025585	0.03410424	0.33004785	0.25526467	0.10947206	0.05129314	0.036439944	0.02013177	0.0018094194	0.0060863253	0.0016524257	0.00030269305	0.007313491
à	0.009722673	0.016284626	0.019716492	0.020164367	0.01893341	0.07235923	0.23764573	0.30320933	0.24309766	0.022552561	0.019317238	0.00554509	0.0048900913	0.0010969723	0.00053558836	0.004928992
i	0.030641932	0.03692196	0.052396517	0.06741241	0.12732385	0.3230896	0.15566565	0.11839364	0.0255506	0.023985527	0.02823061	0.0023321235	0.003842234	0.0015715869	0.0009423075	0.001699434
o	0.0010939167	0.0075501013	0.026448619	0.037518263	0.04560539	0.28419012	0.11625931	0.36927548	0.011664848	0.025825616	0.035795078	0.0049885716	0.024344519	0.008191076	0.00074557785	0.00050351804
g	0.0025043814	0.023984674	0.058756072	0.0638353	0.049693663	0.21112758	0.2892614	0.20109938	0.048471976	0.020124417	0.015444375	0.005270987	0.0057238196	0.0017528326	0.00026811083	0.0026810677
e	0.0051527736	0.05216332	0.094265446	0.082231455	0.06348471	0.19485953	0.15624611	0.1837155	0.052744836	0.03300302	0.04911591	0.016154364	0.007499553	0.0035858196	0.00063572155	0.005141856
l	0.0026941989	0.020721618	0.046534885	0.053808797	0.04570489	0.16015401	0.30275163	0.2868508	0.0381187	0.024597734	0.011776729	0.0014183777	0.002629771	0.00074510736	0.00022917819	0.0012636039
à	0.0037043898	0.0063002873	0.026959136	0.032480687	0.005475981	0.026801227	0.09865749	0.31692898	0.27851343	0.0656144	0.08758091	0.012709358	0.012433931	0.005861014	0.0028591582	0.017119596
o	0.011938531	0.013893502	0.035702746	0.04137388	0.09191426	0.031750925	0.09012066	0.4196451	0.053741083	0.029629301	0.13811699	0.008419579	0.02747481	0.004167244	0.0012472132	0.0008641414
p	0.0012660599	0.0035166754	0.014216783	0.015351919	0.018620478	0.019712493	0.1345568	0.36328757	0.09700469	0.034700163	0.114443876	0.11484763	0.04122041	0.024222802	0.001956319	0.0010753901
r	0.001749722	0.009043562	0.015319296	0.01818107	0.0075876107	0.024181416	0.037057772	0.27946576	0.09919058	0.115108654	0.23514964	0.09708855	0.04291698	0.008015565	0.0010939826	0.008849835
ì	0.004941201	0.01073563	0.012389003	0.013682306	0.0095906295	0.017205255	0.03455413	0.20266758	0.13744283	0.22267596	0.17176844	0.0983599	0.03912307	0.00976338	0.0042546447	0.010846056
m	0.017450672	0.017982814	0.02312463	0.024560735	0.05156228	0.02416878	0.097710595	0.3015746	0.050775275	0.056222316	0.13386671	0.12390559	0.044096693	0.020635609	0.009772493	0.00259029
a	0.0011636702	0.004704317	0.0066124736	0.0067224796	0.005946607	0.008319396	0.02354444	0.12013352	0.0899983	0.10476921	0.17586201	0.34139717	0.06838226	0.0325906	0.0055390876	0.004314436
k	0.0043805554	0.005229998	0.015880393	0.017709926	0.04345092	0.010157083	0.084248334	0.090806894	0.27578986	0.040452782	0.1375975	0.21541028	0.016870292	0.024604928	0.004669158	0.012741091
a	0.0025709383	0.006461648	0.015730837	0.018809298	0.004453634	0.018687086	0.010087253	0.08468872	0.044574127	0.1034048	0.34256876	0.18186751	0.08194328	0.051101252	0.009671448	0.023379384
