 	voglio	che	Maria	che	venga	domani	</S>
i	0.9801988	0.0017619355	0.0015007706	0.0009997769	0.0050749597	0.0078090704	0.002654561
t	0.93668073	0.025394041	0.034681763	0.0009726223	0.0011179157	0.0005739758	0.00057892373
è	0.4916912	0.37465644	0.09781143	0.006035802	0.021562928	0.0038819618	0.004360172
l	0.33061868	0.53942835	0.12740628	0.0005907414	0.0017008291	0.00022055203	3.4544948e-05
o	0.053486235	0.3791963	0.5615384	0.0018968483	0.002700449	0.000986422	0.00019533298
k	0.27906978	0.68784624	0.029921057	0.0007105347	0.0019648038	0.0004350907	5.259705e-05
a	0.030345676	0.3641462	0.523877	0.020797178	0.054585896	0.005808215	0.0004398554
i	0.39485776	0.55742913	0.034734618	0.0055913785	0.0046523246	0.0024356593	0.0002990741
M	0.008665828	0.16685797	0.7152698	0.056798905	0.04575554	0.005134284	0.0015176567
a	0.19726454	0.10171337	0.41293147	0.054329373	0.21763928	0.006752116	0.009369789
r	0.1038845	0.5144648	0.28491607	0.06661212	0.028545061	0.0011568891	0.00042055798
ì	0.06316628	0.33234394	0.16129744	0.18448791	0.13019596	0.11031654	0.018191868
a	0.13239498	0.29632503	0.31789675	0.24187502	0.00994278	0.0009686149	0.000596861
n	0.10227061	0.2860536	0.25522816	0.29870376	0.05222824	0.0042750915	0.0012405971
a	0.011077969	0.0777832	0.17009853	0.47860682	0.24245325	0.01738118	0.0025990424
r	0.12156734	0.18631776	0.26230168	0.36549976	0.052133437	0.00659732	0.005582672
t	0.0059524034	0.0178589	0.11152772	0.37501532	0.39034808	0.09054654	0.008751054
i	0.007952356	0.05620478	0.10483826	0.19453523	0.29859692	0.32332712	0.01454525
à	0.20540212	0.22726475	0.20154488	0.26774186	0.038314942	0.03529956	0.02443197
v	0.0038171732	0.017004335	0.04122264	0.01644602	0.13499627	0.7831423	0.0033712834
v	0.0025902737	0.025883349	0.08501509	0.13280724	0.13179414	0.6166979	0.0052119805
r	0.0033766206	0.02203112	0.045198984	0.069517806	0.07209191	0.7517802	0.036003318
i	0.0052340385	0.04850201	0.065750174	0.08009585	0.058794405	0.6962511	0.045372378
</S>	0.07553025	0.07914584	0.08518784	0.10970411	0.0650887	0.1565997	0.4287436
