 	ho	finito	di	scrivere	</S>
s	0.9917265	0.006148466	0.0006636446	0.0010403969	0.0004211462
p	0.94126135	0.02826334	0.007098207	0.019917075	0.003460015
ì	0.35146824	0.59621364	0.03655314	0.009398372	0.006366684
c	0.23366758	0.7555505	0.010180578	0.00021181874	0.00038955951
c	0.01106992	0.9671544	0.020457428	0.0012322307	8.601753e-05
e	0.028955583	0.623554	0.32834053	0.009223237	0.009926639
t	0.0803705	0.063983	0.8475302	0.0035592134	0.0045571486
s	0.011846762	0.22701299	0.7514618	0.0075546307	0.0021237754
a	0.04337322	0.08906638	0.7972128	0.05330795	0.017039634
à	0.014518561	0.032517575	0.8305299	0.101104304	0.021329613
t	0.0029632384	0.0075547234	0.673746	0.306823	0.008913086
s	0.003539217	0.16176969	0.6506591	0.15958779	0.024444189
e	0.01530288	0.02262242	0.35315138	0.33976385	0.2691595
g	0.0017626667	0.008670604	0.038338758	0.5799547	0.37127334
r	0.0004237347	0.0013575264	0.032780536	0.8013624	0.16407579
à	0.0001472842	0.007909767	0.041852072	0.87322617	0.07686467
t	0.027850682	0.0252845	0.06253726	0.6928328	0.19149475
s	0.0007649275	0.0070846714	0.052779987	0.7893166	0.15005387
i	0.0035333205	0.00448598	0.07535081	0.54348433	0.37314555
</S>	0.0025719556	0.00939484	0.014263973	0.15857491	0.8151943
