 	sto	e	cucino	</S>
e	0.8644894	0.082250044	0.049627744	0.0036327976
s	0.9886149	0.00093543547	0.0012428677	0.009206888
t	0.92407113	0.005716352	0.009102438	0.061110105
è	0.72735065	0.06442427	0.007839446	0.2003856
c	0.27293745	0.6831423	0.015702704	0.028217547
e	0.4130438	0.34783128	0.21721402	0.021910952
m	0.070061885	0.39130995	0.12432391	0.41430426
a	0.0747109	0.4746551	0.31125292	0.13938104
r	0.040931504	0.08802342	0.4606745	0.41037056
è	0.08684473	0.12532796	0.37783226	0.40999505
o	0.096012175	0.302784	0.511413	0.08979089
</S>	0.020862393	0.08083757	0.3216462	0.57665384
