 	tu	le	hai	cucinati	le	verdure	</S>
e	0.9852701	0.004280542	0.0061698	0.00264526	0.0005706774	0.00057477795	0.00048875023
s	0.75229937	0.245959	0.0012726011	9.9176876e-05	0.0001266689	7.924085e-05	0.00016403357
ù	0.25724918	0.7034618	0.018278932	0.0019988045	0.0025984934	0.00020098536	0.016211774
t	0.03425145	0.8110377	0.14931527	0.0052689887	6.852169e-05	1.4011529e-05	4.400961e-05
a	0.105403185	0.8573788	0.027434522	0.007793107	0.00076706323	0.0001753547	0.0010479634
m	0.033986725	0.13020857	0.8151445	0.020261372	0.0002876529	6.715146e-05	4.398339e-05
à	0.03071093	0.31259295	0.5469122	0.09585629	0.008159306	0.00021118003	0.0055571394
r	0.018674104	0.083845966	0.4423005	0.44550127	0.007698606	0.00017670078	0.0018027691
e	0.047135092	0.0844274	0.44180438	0.42023394	0.0045228982	0.00022354371	0.0016528108
t	0.11491204	0.13391526	0.32260573	0.37326282	0.046854395	0.0012894962	0.0071602953
s	0.0071334373	0.049093176	0.14920434	0.677862	0.10051849	0.0007734265	0.015415136
e	0.015154596	0.150477	0.22906469	0.35415334	0.23229079	0.003607308	0.01525232
t	0.011186648	0.03021113	0.05147584	0.086153276	0.7774035	0.017954981	0.025614662
a	0.0041880067	0.027634185	0.035416376	0.10628886	0.75212216	0.034533698	0.039816722
l	0.0052275835	0.013812493	0.0313014	0.013175932	0.90236723	0.017763747	0.016351629
à	0.005983278	0.011454834	0.007587569	0.008891361	0.75870055	0.15779613	0.049586345
c	0.038167108	0.112911195	0.25891477	0.105629966	0.25979906	0.22142589	0.0031519711
h	0.0053692427	0.023606798	0.023695344	0.022589838	0.74682385	0.0837154	0.094199546
a	0.0036359436	0.02423947	0.039478198	0.023182396	0.83146226	0.015103394	0.06289831
n	0.002467277	0.0056619956	0.005741916	0.0045812395	0.25054178	0.5486604	0.18234539
a	0.0008704503	0.005859181	0.005760325	0.0058530904	0.33130938	0.42346835	0.22687925
</S>	0.0023710756	0.0067948475	0.009182064	0.006336039	0.33751616	0.2694772	0.36832264
