 	io	non	ho	niente	da	mangiare	</S>
e	0.4313687	0.5542141	0.0013158636	0.0055808746	0.0039352695	0.00089759135	0.0026876098
v	0.99810696	0.0012196181	0.00036509492	0.00017979	6.777156e-05	1.7366725e-05	4.337669e-05
ò	0.92601985	0.040578466	0.030454434	0.0014728245	0.00060728873	0.00023563651	0.00063151645
e	0.21274324	0.7603867	0.026661731	0.00012210675	3.9325543e-05	2.0639243e-05	2.6164453e-05
n	0.2797298	0.5017134	0.19827068	0.018035093	0.0018386344	0.00012482567	0.00028758598
è	0.059473336	0.047338348	0.8576588	0.03003879	0.0012826482	0.0014252026	0.002782853
c	0.12782277	0.4255082	0.31406572	0.12778519	0.0016454839	0.0004398645	0.0027327312
h	0.03385337	0.030693676	0.73664105	0.19652063	0.0017598487	0.0003665633	0.00016492856
o	0.023298545	0.092767835	0.18398416	0.6867765	0.008932784	0.0012192057	0.0030209536
t	0.068596825	0.034638885	0.34887698	0.5373912	0.008672487	0.00080074515	0.0010228715
ì	0.004119066	0.0042245714	0.05014903	0.9360197	0.0029529005	0.00046283292	0.0020718316
p	0.015636053	0.020611266	0.023730628	0.7983513	0.13712871	0.0014682665	0.0030738392
o	0.007883012	0.008761609	0.032163814	0.8896004	0.056176517	0.0022365628	0.0031781069
t	0.034282796	0.0215665	0.037971117	0.09036311	0.7320194	0.061114103	0.022682965
i	0.0057777665	0.009514959	0.021739682	0.24262024	0.6855499	0.023058059	0.011739337
n	0.0065792	0.011405718	0.007764559	0.010866404	0.4575658	0.46579096	0.040027402
a	0.0026565006	0.0029353492	0.008528378	0.07279453	0.6930442	0.19515395	0.02488712
f	0.0039780047	0.010864458	0.0045791203	0.0068590385	0.199616	0.7290579	0.04504545
à	0.0052963826	0.0050214985	0.009953307	0.073056385	0.28871682	0.4544143	0.16354132
o	0.037442144	0.09157966	0.040732466	0.101427	0.40621355	0.24496025	0.077645004
</S>	0.0063631907	0.05289549	0.014465864	0.05327786	0.15410863	0.28626356	0.43262538
