 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.76734215	0.18616246	0.02382941	0.0038427615	0.0069972347	0.0012322686	0.0011099745	0.00646941	0.0030143391
n	0.883066	0.04379233	0.060292594	0.0065515023	0.0019525152	0.0033702927	0.00033397175	0.00028371278	0.00035695118
ì	0.028719908	0.3253672	0.5656406	0.066315554	0.0031633135	0.006286112	0.0011548876	0.0014275947	0.0019247879
c	0.02216618	0.18490186	0.6845426	0.10671385	0.00054611603	0.0002567497	0.00038599825	0.00014914059	0.00033747347
h	0.029840576	0.19420299	0.7106404	0.06285151	0.0012203826	0.00045767822	0.0005531568	0.00015719267	7.608049e-05
e	0.033869345	0.2173315	0.5283151	0.21668729	0.0024591202	0.00027365645	0.0006652069	0.00015105454	0.00024767415
t	0.008464431	0.031728067	0.65164274	0.30775598	0.00012988636	3.543592e-05	0.00016701376	6.104803e-05	1.5413676e-05
o	0.0033735912	0.014237664	0.4489203	0.52983063	0.001326744	0.0009358159	0.00045457974	0.00040273208	0.0005180079
r	0.008446281	0.040775154	0.07730153	0.8700066	0.0032382747	0.00014007188	6.7807305e-05	1.9016838e-05	5.2853147e-06
ì	0.008330463	0.010742206	0.2425767	0.70932925	0.01477914	0.0074310275	0.0017547589	0.0018911846	0.0031652781
s	0.029858768	0.033324704	0.10189942	0.75048995	0.0753116	0.0059778118	0.0021891831	0.00048566112	0.0004629913
o	0.0312615	0.052271258	0.09771631	0.7513852	0.056568798	0.0060336925	0.0024354898	0.001579091	0.00074862206
n	0.026607785	0.040540565	0.059974656	0.15797625	0.70127577	0.0077962414	0.005125427	0.0003176051	0.00038584459
t	0.0018999546	0.005661041	0.029718712	0.1677502	0.7413801	0.040171124	0.008325744	0.003211114	0.0018819529
a	0.026059313	0.15842749	0.10295829	0.25585377	0.3614346	0.048188508	0.024601316	0.016128317	0.00634837
e	0.004781562	0.00844053	0.050978348	0.08667794	0.75359493	0.062295314	0.021799639	0.006116598	0.0053151525
m	0.0003106596	0.0026732576	0.0023712984	0.013799263	0.86749166	0.030044723	0.055109933	0.022301752	0.005897418
a	0.004504387	0.010703286	0.024651881	0.03913857	0.68764085	0.08858675	0.086830914	0.024578903	0.03336439
n	0.0019664094	0.027851788	0.012558248	0.04818132	0.5141136	0.13680409	0.22123057	0.031244773	0.006049134
t	0.003405895	0.004005262	0.017229289	0.030677527	0.40770403	0.30357805	0.11745598	0.0894502	0.026493829
e	0.0052251555	0.011324824	0.040976994	0.04022038	0.16638823	0.30939147	0.27490592	0.10558213	0.04598494
ì	0.0007085899	0.0029635376	0.0064268154	0.008524088	0.062153302	0.101785	0.5348445	0.24715139	0.035442807
t	0.0001845101	0.0013506968	0.003706904	0.010772472	0.015283111	0.10229373	0.38315347	0.47078943	0.012465673
s	0.0023834063	0.0071573346	0.007174033	0.01340469	0.05925266	0.35766384	0.44203883	0.080863506	0.030061753
e	0.0040026843	0.031891078	0.0058657853	0.027116988	0.048104875	0.15939513	0.48559117	0.12002391	0.11800842
r	0.00043226912	0.0018083451	0.0028731227	0.003545315	0.012775041	0.020384077	0.24484552	0.5836427	0.12969366
e	0.00044126072	0.00089602347	0.004216412	0.003932614	0.019653201	0.048226345	0.3246609	0.540088	0.05788529
k	0.0019898268	0.0046899654	0.0041606897	0.005000333	0.013380155	0.012405314	0.12550439	0.5748464	0.25802293
a	0.0009462145	0.001012027	0.0018840394	0.001867658	0.012431684	0.011814425	0.048078477	0.8436849	0.07828058
v	0.00091814256	0.003287885	0.0027894338	0.003783223	0.012687222	0.0067301793	0.08476707	0.65528804	0.22974886
r	0.0012034561	0.001283905	0.0025207605	0.0020879542	0.009057084	0.006570344	0.031778935	0.79478693	0.15071067
è	0.0011548977	0.0014791694	0.001843712	0.0018355418	0.003276982	0.017275594	0.06093874	0.7979118	0.114283495
c	0.004962547	0.016214745	0.0053813867	0.011552474	0.0421141	0.010215093	0.09472317	0.5813265	0.2335099
h	0.0020971538	0.0071795844	0.01436648	0.016076427	0.047776837	0.023279918	0.12009906	0.57730806	0.19181645
i	0.013563869	0.030033644	0.019485053	0.029684698	0.03027336	0.037154634	0.12587291	0.5380196	0.17591232
</S>	0.005523993	0.011804481	0.0064557577	0.009564331	0.032880466	0.0073147533	0.056162585	0.25961754	0.61067617
