 	da	da	un	famoso	poeta	</S>
p	0.96171045	0.009902003	0.0035390332	0.0059579597	0.015998047	0.0028925312
u	0.96831805	0.011640002	0.006716118	0.0058268732	0.004827631	0.0026713256
s	0.23039842	0.76438206	0.004813122	0.00025235015	0.00013021239	2.390852e-05
s	0.2266662	0.6892146	0.053890742	0.012317868	0.013670061	0.004240549
è	0.20995085	0.5509487	0.20174854	0.015998188	0.0059021693	0.015451578
n	0.042252287	0.75906324	0.19446418	0.0032030279	0.00055971456	0.0004575434
a	0.05718698	0.5113255	0.4137808	0.016051613	0.0008891297	0.0007659574
f	0.10067683	0.19370407	0.63661474	0.061055575	0.00563082	0.0023179315
a	0.0074701635	0.03536408	0.69333065	0.2445141	0.00945032	0.00987075
m	0.11984667	0.16452415	0.27632058	0.32313627	0.0986719	0.017500404
ò	0.0051317266	0.01275838	0.10970855	0.77773684	0.07002854	0.02463601
s	0.029343689	0.086617	0.24438597	0.3071111	0.32049367	0.0120485425
o	0.014615531	0.031297185	0.113498405	0.80547273	0.030584997	0.004531123
p	0.02883193	0.038041357	0.045904174	0.12232529	0.69567454	0.069222756
o	0.00057564944	0.002292159	0.01008465	0.3641442	0.5621143	0.06078899
è	0.006605253	0.008710378	0.023673747	0.030386604	0.78854436	0.14207967
t	0.0039031168	0.006811332	0.020598141	0.031041548	0.9231064	0.014539546
a	0.0045254934	0.013621498	0.039055604	0.13455081	0.6298699	0.17837669
</S>	0.010539322	0.012131295	0.01858551	0.024851797	0.58125925	0.35263282
