 	dei	genitori	</S>
à	0.9826728	0.012078329	0.005248884
t	0.9822515	0.0040987143	0.0136496825
t	0.9900439	0.001885236	0.00807084
u	0.46570793	0.03638795	0.49790406
s	0.06949545	0.7511715	0.17933309
g	0.56755984	0.13314922	0.29929098
e	0.01538211	0.7270802	0.2575377
n	0.063292876	0.7398877	0.1968194
i	0.11551875	0.60787624	0.27660495
t	0.005030345	0.94136786	0.053601738
ò	0.24132715	0.34288147	0.4157913
r	0.21688634	0.70682	0.07629358
u	0.30204332	0.5048419	0.19311482
</S>	0.018869925	0.29798582	0.6831442
