 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
n	0.9761021	0.017257148	0.00055283523	0.0010954377	0.0008277176	0.00065109844	0.0011689756	0.0015982407	0.00074644067
d	0.9102427	0.03279899	0.025935061	0.003960886	0.014921764	0.003660188	0.0035691515	0.0034628278	0.0014483387
ì	0.61125386	0.3704569	0.017282616	0.00041573402	0.00014532894	0.00021554601	0.00014973011	6.842056e-05	1.1854442e-05
s	0.057351716	0.8749556	0.067507274	9.561012e-05	7.1528643e-06	1.6904409e-05	2.1344471e-05	1.9501684e-05	2.4800098e-05
o	0.32380345	0.56281126	0.10004671	0.0035372833	0.0031435352	0.0024298993	0.0020612257	0.0008952848	0.0012713168
n	0.08727133	0.60810006	0.30390713	0.000621597	1.9158071e-05	1.43934785e-05	2.9285538e-05	3.1162523e-05	5.763536e-06
t	0.03260363	0.44476876	0.5166924	0.001723744	0.0014689858	0.00063938793	0.00078304193	0.000470747	0.00084933446
a	0.23732401	0.5013929	0.2237144	0.010144196	0.005252691	0.005099232	0.0057785944	0.0051559117	0.006138023
t	0.048053585	0.38597137	0.55607444	0.009774905	4.4915785e-05	1.4294306e-05	2.6539516e-05	2.938444e-05	1.0626102e-05
i	0.011013648	0.060146913	0.9040389	0.017298691	0.0026217273	0.0006423952	0.0009692878	0.0011471582	0.0021212602
k	0.03029687	0.11169211	0.52590775	0.33008233	0.0017768295	0.00013243161	7.204495e-05	2.541579e-05	1.4208467e-05
i	0.03341561	0.07402059	0.64769053	0.1933752	0.017653596	0.0022571806	0.0027508002	0.0033423388	0.025494171
a	0.021150328	0.05791604	0.2825448	0.62449163	0.013501306	0.00027509106	7.200148e-05	1.946653e-05	2.9398432e-05
t	0.011610459	0.05829	0.6811473	0.13184127	0.11309205	0.0010467779	0.0007304849	0.0005974987	0.0016443161
è	0.024483267	0.03781307	0.3609596	0.38318294	0.14379367	0.0070953066	0.005148504	0.0048787957	0.03264486
r	0.010614444	0.08118539	0.2947185	0.41431597	0.19714016	0.00057953625	0.00019929712	0.00022733805	0.001019464
a	0.019879784	0.026308984	0.08470086	0.62773263	0.22717178	0.011613563	0.0009440197	0.00049620355	0.0011522307
t	0.018528305	0.025076147	0.03668468	0.3538624	0.54961336	0.014533384	0.0006628556	0.00018329425	0.00085552677
i	0.0018899401	0.0046502724	0.064218834	0.06495625	0.79924357	0.052368715	0.004532717	0.002124142	0.00601555
n	0.008114837	0.018074417	0.057545736	0.19049737	0.5071977	0.20514992	0.009026742	0.0010867134	0.0033066077
ì	0.003410484	0.005080756	0.0587522	0.036013525	0.659866	0.19099425	0.016213149	0.010104236	0.019565493
c	0.0060325842	0.009938503	0.04193816	0.0706731	0.6062679	0.25236282	0.008549988	0.0033768904	0.0008599892
h	0.00082815514	0.0049995543	0.020905307	0.02058957	0.49171057	0.38253695	0.055551175	0.014470222	0.0084085185
a	0.0030874505	0.0064890855	0.03640654	0.056386262	0.6189228	0.22181419	0.03519483	0.012102701	0.009596102
p	0.0016527678	0.0058981823	0.012433098	0.013206708	0.14592348	0.59245634	0.19105436	0.022939237	0.014435745
à	0.0005235817	0.0016935744	0.008849436	0.0031293235	0.06149949	0.7080572	0.169535	0.027087694	0.01962474
r	0.003903287	0.0068978835	0.02572216	0.05531885	0.13621406	0.4234187	0.28057483	0.061426755	0.006523533
o	0.0045197727	0.010091692	0.013919866	0.012540063	0.06407158	0.55559283	0.23361412	0.054684862	0.05096525
n	0.004780412	0.005235254	0.0058583855	0.0083820755	0.028711114	0.13797113	0.5642477	0.16343579	0.081378065
t	0.00048181158	0.0036274067	0.010204863	0.0072986684	0.037496578	0.31383336	0.49407664	0.09709096	0.035889715
a	0.0022729046	0.00561324	0.028080264	0.03368417	0.04210911	0.22671245	0.45397535	0.08447725	0.12307528
s	0.000718957	0.0019442716	0.002864148	0.0029059588	0.01130927	0.052630227	0.4544304	0.35882476	0.114372015
t	0.00016402185	0.0011037503	0.006990632	0.0018740462	0.01696781	0.112478636	0.5227741	0.2709097	0.066737294
i	0.00032708075	0.0031622099	0.015918562	0.009956559	0.018994885	0.12399904	0.5346346	0.16353847	0.12946853
n	0.00039394508	0.0011695268	0.002065263	0.0026734301	0.011224607	0.023360267	0.25868726	0.5578958	0.14252993
a	0.00025339986	0.0009941946	0.0057522873	0.0013310825	0.011306123	0.04385678	0.30582076	0.5204791	0.1102063
g	0.00026371906	0.0008648099	0.0022358643	0.0038924688	0.012386587	0.015894298	0.2178963	0.5619475	0.18461831
l	0.00021383297	0.0008005655	0.0058759763	0.0015484398	0.007406691	0.009095896	0.11782241	0.6349502	0.22228597
i	0.0011762799	0.0016925308	0.005021209	0.0017822472	0.0056603844	0.026686806	0.26118833	0.5883276	0.10846461
s	0.00047683195	0.0010086655	0.0023676658	0.005685962	0.011899065	0.010264696	0.106211826	0.642009	0.22007623
ì	0.0013314083	0.0019446332	0.007455245	0.002042704	0.008368467	0.04122986	0.1465548	0.6121442	0.1789287
a	0.00143786	0.0024157169	0.008200453	0.019304466	0.030440148	0.031157684	0.098093614	0.6826956	0.12625448
</S>	0.0024686088	0.0069028647	0.025454266	0.027908346	0.025000187	0.027547833	0.100739434	0.48863432	0.2953442
