 	stava	ancora	cucinando	</S>
ì	0.7944929	0.03472411	0.11510154	0.0556814
s	0.99916244	0.000481273	0.00013343467	0.00022290063
t	0.9668531	0.014263681	0.008037688	0.010845376
i	0.7001997	0.19060624	0.049240228	0.05995379
g	0.84725064	0.1423211	0.007435068	0.002993272
g	0.94181556	0.0517575	0.0034013414	0.0030256226
h	0.7627312	0.18418351	0.035007372	0.018077902
e	0.92105967	0.061325625	0.0052334554	0.0123812165
a	0.10091687	0.8819461	0.0044490974	0.012688038
n	0.10373564	0.85206723	0.037595533	0.0066016405
k	0.47228554	0.17530279	0.1977305	0.15468115
ò	0.25550556	0.20664082	0.13703163	0.40082195
r	0.046435717	0.47926074	0.35224232	0.122061186
a	0.25781918	0.49922207	0.16313972	0.07981913
m	0.02094224	0.19835971	0.4534662	0.3272318
a	0.05545469	0.0583056	0.82680947	0.05943023
r	0.016431857	0.12527934	0.6298877	0.22840118
è	0.079045415	0.062154513	0.6942618	0.1645383
o	0.03935955	0.24207407	0.6357815	0.08278483
n	0.011930357	0.14539285	0.6456721	0.19700466
t	0.13757476	0.12439145	0.6065028	0.13153099
a	0.053957123	0.25286546	0.3088202	0.38435727
</S>	0.0187739	0.12348958	0.39604464	0.46169183
