 	Valeria	legge	il	giornale	</S>
e	0.9652985	0.019315705	0.007337492	0.0023258112	0.0057224203
V	0.98833114	0.011587043	3.363483e-05	1.3773555e-05	3.443377e-05
a	0.83540547	0.1640377	0.00027621974	0.000100000856	0.00018053637
l	0.6296202	0.36857152	0.0012820202	0.0002253962	0.00030091385
è	0.87744075	0.1090857	0.0047271284	0.0023259886	0.0064205523
r	0.18267338	0.8119277	0.0041825296	0.00014432782	0.0010720368
i	0.21193023	0.7825318	0.0033167645	0.0005820342	0.0016392256
a	0.07493487	0.91965497	0.0050387695	0.00011727148	0.00025408715
m	0.05085891	0.91022253	0.036502685	0.0015877589	0.0008279663
e	0.3368658	0.324626	0.252467	0.018078847	0.06796234
l	0.19158962	0.38686374	0.41741255	0.002539118	0.001594979
e	0.33784163	0.20742199	0.19853367	0.056408197	0.1997944
t	0.06288386	0.19449796	0.73541725	0.0032006954	0.0040003485
à	0.3169041	0.17084375	0.22887826	0.062610276	0.22076362
o	0.031280596	0.17997831	0.7717889	0.012361606	0.004590625
g	0.016451482	0.045807123	0.8792634	0.052295543	0.006182533
i	0.06564101	0.06737064	0.77602404	0.05581882	0.035145447
o	0.09922827	0.17014058	0.52595127	0.17426029	0.030419577
r	0.052933514	0.07350846	0.39869428	0.44052148	0.03434234
n	0.047315683	0.012839178	0.057736326	0.8300676	0.052041262
à	0.03890262	0.039986562	0.14934078	0.747622	0.024148135
l	0.032182567	0.078324206	0.4237612	0.4095394	0.05619256
e	0.032513745	0.0235528	0.22217757	0.6401532	0.081602715
</S>	0.016433792	0.019132318	0.081686884	0.36146918	0.52127784
