 	vuole	pianto	</S>
i	0.98295885	0.011253756	0.005787462
t	0.9775083	8.619424e-05	0.022405388
è	0.8416084	0.0031557227	0.15523593
l	0.5280468	0.09416061	0.37779257
i	0.83751893	0.0075555798	0.15492544
k	0.040711287	0.37345317	0.5858355
l	0.24961105	0.03642562	0.7139633
a	0.07921098	0.2897347	0.63105434
m	0.05616388	0.44800475	0.49583137
m	0.07313296	0.08273569	0.8441314
è	0.07650691	0.1404	0.78309315
n	0.084179185	0.60767066	0.30815014
o	0.47816062	0.1574006	0.36443877
</S>	0.08965776	0.34030113	0.57004106
