 	possono	essere	ancora	svegli	</S>
i	0.98938936	0.0026703489	0.0006156959	0.007106337	0.00021818344
s	0.9936232	0.0061659315	7.2915325e-05	4.8182275e-05	8.9663605e-05
ò	0.79329526	0.19042471	0.004956197	0.0037050175	0.0076187905
z	0.39281622	0.60647935	0.0002525419	0.00013115366	0.00032074662
o	0.42902827	0.56249034	0.0043367585	0.0033676403	0.00077693904
n	0.16485918	0.83128464	0.0019795438	0.00087336736	0.0010033031
e	0.11478067	0.8717712	0.0038216533	0.007106472	0.0025199517
ì	0.16542733	0.76181763	0.06711838	0.003702504	0.001934183
n	0.09545268	0.8137628	0.045757167	0.017854137	0.02717319
e	0.21311834	0.5291768	0.18584542	0.041548062	0.03031141
a	0.047890164	0.17963323	0.7615456	0.00726651	0.0036645422
n	0.0040925136	0.121144384	0.8666435	0.0063890517	0.0017305335
k	0.105744444	0.46397015	0.24164331	0.032747455	0.15589456
ò	0.0448289	0.29148027	0.20829311	0.12329053	0.3321072
r	0.024892688	0.12703826	0.3802382	0.38301352	0.08481724
a	0.03188512	0.120155945	0.31759956	0.4268064	0.10355293
a	0.035390202	0.06854125	0.6808676	0.10715542	0.108045556
t	0.0021435448	0.08000457	0.08610899	0.78928316	0.042459752
s	0.026800059	0.10545698	0.066627696	0.52705026	0.274065
ù	0.0050991685	0.021252539	0.035529017	0.7030302	0.23508908
n	0.005282944	0.030990591	0.095040336	0.64253896	0.2261472
n	0.023910051	0.08920499	0.10008261	0.385537	0.40126532
i	0.0019482519	0.018168474	0.09642527	0.40496948	0.4784885
t	0.002138837	0.01273921	0.08843202	0.7010021	0.1956878
i	0.0059932964	0.056542642	0.059702653	0.37133905	0.50642234
</S>	0.0011738642	0.012193016	0.05095921	0.17132446	0.7643494
