 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.9868938	0.004829196	0.0038074641	0.0017732807	0.002024229	0.00067211984
c	0.99798393	0.0011279144	6.443523e-05	0.000444555	0.00015499485	0.00022401121
h	0.68288946	0.28161833	0.009834564	0.015774349	0.009111212	0.00077202317
a	0.15783381	0.79661185	0.008822446	0.028748473	0.0054688333	0.0025144268
n	0.49776125	0.47077245	0.005347596	0.0146436915	0.009623352	0.0018516424
a	0.13258132	0.8359865	0.009311972	0.016586728	0.0015452702	0.0039881254
v	0.038764097	0.9160869	0.021746878	0.017329257	0.005096443	0.0009763763
o	0.053865764	0.5727308	0.15325543	0.08899365	0.050188966	0.08096543
r	0.073789895	0.7265873	0.11416219	0.07324192	0.00885232	0.0033664566
à	0.05187544	0.29883587	0.36752924	0.0697883	0.06384811	0.14812309
s	0.050818436	0.34640488	0.44756803	0.10325981	0.043517936	0.008430856
o	0.026765546	0.43763027	0.47599477	0.046840224	0.0046141986	0.008155017
t	0.054758318	0.13711606	0.25355613	0.46587822	0.06167881	0.027012423
s	0.0059151384	0.036313776	0.81598675	0.10872137	0.019115308	0.013947618
o	0.010986977	0.073151246	0.43975213	0.30406827	0.07567142	0.096369945
m	0.01964814	0.014480029	0.18431923	0.28568968	0.25000408	0.2458588
ì	0.0009747524	0.0035767434	0.6861973	0.19555196	0.057832614	0.055866595
k	0.01185276	0.034178376	0.07123026	0.4849675	0.30877253	0.08899852
u	0.011244612	0.04696554	0.3079412	0.24964678	0.21964288	0.164559
à	0.014752798	0.01852916	0.018576054	0.09407816	0.31713575	0.5369281
i	0.003337433	0.018037606	0.01875477	0.22936729	0.6887531	0.041749798
m	0.0015605247	0.012042048	0.03296912	0.1742368	0.6312816	0.14790986
è	0.0034182388	0.008900238	0.061041	0.1933568	0.57828915	0.15499456
r	0.009135036	0.06840445	0.039014384	0.19724606	0.6400339	0.046166155
i	0.013208219	0.020901876	0.064924255	0.10259364	0.6368744	0.16149765
</S>	0.020001877	0.022259582	0.021616247	0.036217727	0.10890571	0.7909989
