 	non	aveva	cosa	a	fare	</S>
e	0.9861878	0.006712551	0.0026546211	0.002023302	0.000978878	0.0014430145
n	0.8540219	0.08187645	0.02063262	0.022299387	0.011399165	0.009770584
ì	0.036076576	0.77926594	0.062176213	0.038104303	0.033023126	0.051353738
c	0.3459548	0.5848246	0.025305845	0.007988098	0.012705276	0.02322135
h	0.026756044	0.67556846	0.26280642	0.0257503	0.008129591	0.0009891829
e	0.069974445	0.21154329	0.4583937	0.1386188	0.102305256	0.019164586
t	0.018279716	0.1303876	0.6630602	0.1496292	0.033914205	0.004728994
i	0.01022695	0.026755147	0.44356915	0.4207624	0.064895734	0.033790696
k	0.0113582825	0.019806052	0.0644749	0.3146725	0.54638785	0.043300472
à	0.011995848	0.010996393	0.080598935	0.5394358	0.20180772	0.15516531
m	0.037882965	0.036202766	0.04325175	0.21357651	0.6082693	0.060816687
i	0.017055878	0.018169329	0.029395944	0.4173087	0.43308964	0.08498047
</S>	0.019700957	0.014863746	0.015065358	0.024973905	0.2650175	0.6603785
