 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.9983771	0.0005767276	0.000118048876	5.7426034e-05	8.7575514e-05	7.464004e-05	0.0005205505	0.0001878979
u	0.9908065	0.005845778	0.0005766919	0.00080949167	0.0006941182	0.00039915604	0.00047016353	0.00039801095
à	0.35270327	0.6467005	7.4624535e-05	5.8119476e-05	0.00030103474	2.3802897e-05	0.00012469114	1.3971147e-05
i	0.22716068	0.7695138	0.0011217039	0.00061075966	0.0004074854	0.0003608293	0.00025307632	0.00057179347
m	0.23095287	0.7348688	0.030393228	0.0021374135	0.0011715384	0.0003048963	0.00013398528	3.7260128e-05
è	0.18180476	0.7395876	0.068874285	0.003947067	0.004545824	0.0006305275	0.00033296802	0.00027696587
r	0.043463092	0.8679681	0.085478656	0.0024662935	0.00020684177	5.9038008e-05	0.00022533997	0.00013250971
i	0.16996612	0.5894377	0.21545975	0.013087325	0.005200058	0.0024015584	0.0021522113	0.0022952475
n	0.05924411	0.13641766	0.7503615	0.052189775	0.0014777235	0.00014749693	0.00011864117	4.3138356e-05
g	0.01960883	0.05011131	0.8943773	0.028804028	0.005374589	0.00063455594	0.0004755978	0.00061378727
h	0.06063867	0.3115408	0.24345525	0.13086414	0.21877483	0.022644907	0.009811823	0.0022695237
ì	0.03232373	0.06249019	0.7608538	0.10443849	0.030071478	0.0046508727	0.00071172055	0.004459682
z	0.01532558	0.053951494	0.6050122	0.30885842	0.011197821	0.0037573332	0.0006139872	0.0012831666
i	0.012402823	0.019706002	0.52459574	0.34148782	0.09932662	0.0014443885	0.00046677844	0.0005698974
n	0.03534675	0.04236392	0.13993347	0.6876499	0.06996261	0.021049416	0.00039025134	0.0033037425
a	0.0021453577	0.008665908	0.11656414	0.49723807	0.36320034	0.008552798	0.0016552154	0.0019781922
v	0.032589857	0.039173394	0.13106911	0.44749764	0.08680381	0.24587087	0.005028499	0.01196674
o	0.0011626502	0.0026501976	0.02375998	0.13644288	0.7923151	0.025193952	0.01002716	0.008447992
r	0.015469921	0.025282823	0.115545206	0.23688214	0.04652639	0.5077606	0.029491106	0.023041867
à	0.0025748718	0.003313347	0.012959461	0.062542886	0.8120338	0.06418157	0.027818019	0.014576079
s	0.017196314	0.024668017	0.10105034	0.19325913	0.11332144	0.52231944	0.019480404	0.008704979
o	0.0015027883	0.009779378	0.018562105	0.048325256	0.44799343	0.43701977	0.024822515	0.011994807
m	0.009862083	0.0106326295	0.02183158	0.027796758	0.009822	0.686801	0.09802661	0.13522737
e	0.00035460657	0.0025446157	0.0053866073	0.011581568	0.1571748	0.57018816	0.23049429	0.022275383
o	0.004733346	0.010823576	0.045586903	0.04889847	0.008735463	0.5301066	0.20276605	0.14834963
t	0.0015341653	0.007482514	0.019461542	0.020956336	0.0151171	0.5937063	0.23976177	0.10198023
s	0.0027821676	0.0037292806	0.015079105	0.016538	0.07019799	0.2623509	0.59562886	0.03369375
o	0.0010958423	0.0063922177	0.0094596185	0.010989855	0.09083174	0.30541426	0.49997365	0.07584281
m	0.0046082283	0.005938729	0.025141282	0.021515816	0.0035966765	0.16313972	0.3966719	0.37938762
ì	0.0012254989	0.0017660584	0.0028353154	0.0030005674	0.03086476	0.061945703	0.7176917	0.18067043
</S>	0.0044332896	0.008846806	0.04372873	0.03968575	0.008002334	0.112762	0.50217414	0.28036696
