 	non	sapeva	dove	a	stare	</S>
e	0.9920793	0.0008167909	0.00272805	0.00073251023	0.0027979973	0.000845362
n	0.7712978	0.22075129	0.0012139801	0.0014498158	0.0021990926	0.0030880815
ì	0.19944823	0.76515037	0.0046309214	0.004588726	0.011171648	0.015010086
s	0.09341565	0.89930815	0.003386633	0.00066728494	0.00148658	0.0017356907
s	0.0850357	0.8816955	0.027328836	0.0023329596	0.0019802782	0.0016267007
e	0.34164914	0.3502959	0.2103969	0.04841602	0.028638262	0.020603789
r	0.059561357	0.7199816	0.21204631	0.002577087	0.004485833	0.0013477561
e	0.052521918	0.6176188	0.22589858	0.04813626	0.031637274	0.024187244
p	0.058131084	0.055161834	0.85970175	0.010254986	0.013562017	0.00318843
u	0.030241912	0.06590298	0.7929215	0.049614538	0.050973143	0.0103459805
n	0.043273866	0.042899154	0.67141575	0.14452533	0.08472444	0.013161425
a	0.0150476545	0.04884713	0.40271416	0.30212867	0.16965269	0.061609685
s	0.0356022	0.03237996	0.17398818	0.17302251	0.5409024	0.04410479
t	0.013329862	0.035499614	0.09840174	0.55336535	0.26668873	0.032714657
a	0.011537305	0.008056517	0.040064935	0.42813197	0.45987645	0.05233288
s	0.009030862	0.008122139	0.017083654	0.026262803	0.84223825	0.09726234
ì	0.010903267	0.025075035	0.024055716	0.13112374	0.6249358	0.18390645
</S>	0.006607789	0.0073009077	0.02783507	0.04834131	0.84709305	0.06282189
