 	lo	sentii	che	viene	</S>
t	0.9825655	0.0022271664	0.003323003	0.008768454	0.003115874
o	0.9168685	0.02820144	0.008957142	0.041579016	0.0043939417
n	0.87305504	0.12153045	0.004284292	0.001050322	7.985812e-05
ì	0.5356623	0.3746588	0.027211433	0.049719244	0.012748206
k	0.099107675	0.8450873	0.052399103	0.0031340357	0.00027194913
u	0.07987707	0.7690286	0.1367405	0.013668379	0.0006854345
s	0.1039148	0.3822099	0.48994493	0.020552868	0.0033775133
a	0.007662341	0.057902254	0.8546566	0.0783999	0.0013790333
n	0.08963657	0.12324497	0.5390823	0.21410942	0.03392673
a	0.0038883109	0.031185342	0.33995232	0.61631805	0.008656003
r	0.054395907	0.06233963	0.16807511	0.5620373	0.15315211
t	0.0013343386	0.008970251	0.0436008	0.92170006	0.024394471
i	0.004171967	0.0057012886	0.08946243	0.85934526	0.041319076
</S>	0.05066686	0.053209737	0.06359506	0.1719227	0.6606056
