 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.98797905	0.0059787813	0.0015272297	0.00013978839	0.00057740393	0.00034830644	0.00020834152	0.00032084328	0.0015424957	0.00030438192	0.00080100895	0.0002723351
j	0.6118323	0.38768554	0.0003243506	2.9971648e-05	5.1647253e-06	2.8569351e-05	3.234426e-06	8.979908e-06	3.404421e-05	1.4618456e-05	2.1805587e-05	1.1404686e-05
i	0.31160486	0.66962695	0.0069357925	0.0012338407	0.0026199718	0.004226346	0.0006808216	0.00077141926	0.0009184638	0.00061776844	0.00044849564	0.0003152822
n	0.3972623	0.5956707	0.006904308	2.9440262e-05	7.5043417e-06	3.430917e-05	2.9840392e-06	4.4135572e-06	2.5223218e-05	1.3209865e-05	3.4737703e-05	1.0846333e-05
è	0.26345232	0.6673635	0.010740718	0.0023805485	0.010545739	0.0069593317	0.005746823	0.007262621	0.008435766	0.007725249	0.004899159	0.0044882735
k	0.105854146	0.85066766	0.04278795	0.00039652633	2.7439399e-05	0.00022442454	2.9669898e-06	4.032436e-06	8.141761e-06	5.0143335e-06	1.0888522e-05	1.0864012e-05
a	0.3017596	0.59626645	0.06842795	0.013205005	0.004272606	0.003660843	0.0020374046	0.0031205174	0.0030407307	0.0018725558	0.0015148201	0.0008214927
è	0.22384056	0.47514808	0.28168136	0.018309176	0.00021531068	0.0006260916	1.1967095e-05	1.9418861e-05	1.2186935e-05	5.2847794e-05	6.942824e-05	1.3543589e-05
n	0.09736788	0.5182749	0.34035045	0.035488922	0.0027657896	0.0015142238	0.0003990181	0.00019779294	0.0005609314	0.00088293577	0.0010998251	0.0010973563
e	0.08968273	0.20317486	0.5745404	0.08246399	0.02778307	0.006387344	0.0052494155	0.0025585108	0.0037480907	0.0018271448	0.0016314045	0.00095307524
k	0.15643305	0.27282193	0.21088915	0.31257457	0.034131285	0.012411366	0.0001515854	0.00011763377	4.5175526e-05	0.00021812199	0.00016886607	3.7239093e-05
a	0.0136993425	0.14887998	0.14072785	0.50501925	0.15395345	0.022576561	0.0057013407	0.0018983427	0.0032562492	0.0015404413	0.0014000772	0.0013471148
p	0.05725997	0.15777862	0.0694852	0.16694076	0.5096608	0.037316423	0.00077800005	0.00030603394	0.00012192964	0.0001742585	0.00013231841	4.5674147e-05
à	0.014827169	0.10128284	0.1490052	0.3268879	0.31485206	0.014648942	0.015821908	0.007961166	0.03688613	0.007067618	0.0057488554	0.0050101588
c	0.04438657	0.16020454	0.059760973	0.14499712	0.5320501	0.050665967	0.005381356	0.0008058865	0.00042724967	0.00044385984	0.00038861847	0.00048785718
e	0.0029604651	0.06338667	0.0432123	0.15195605	0.5726205	0.09002776	0.051564377	0.008579295	0.012224927	0.0017474184	0.0012559535	0.00046431806
n	0.02003231	0.06506069	0.03298126	0.073462516	0.70597106	0.09355288	0.0055564865	0.0008697947	0.00086164754	0.00064506364	0.00050179235	0.00050448545
a	0.007602802	0.046341468	0.018822761	0.23184627	0.5706663	0.041816898	0.036090005	0.011244413	0.0254478	0.003155675	0.0028554427	0.0041100434
p	0.011023835	0.01738837	0.011897141	0.032973047	0.5470886	0.15818368	0.19678138	0.019476907	0.0017224308	0.0019580554	0.00096968457	0.00053689926
u	0.0020323219	0.016283257	0.008638879	0.047292806	0.7277882	0.026019283	0.04721998	0.017320076	0.07871256	0.0120832445	0.008544164	0.008065163
l	0.0056496863	0.015791668	0.008311123	0.021359973	0.2906165	0.27322856	0.34722003	0.03218433	0.0027538901	0.0015359455	0.0008244422	0.0005238735
i	0.0029688652	0.010140536	0.003823859	0.03833311	0.7517435	0.027436579	0.06573935	0.013659169	0.050533187	0.012344662	0.0097355135	0.013541711
z	0.0078149205	0.011472524	0.0086990595	0.028976442	0.20018752	0.105545744	0.514651	0.108806856	0.005729529	0.004938607	0.0021505803	0.001027244
z	0.00600491	0.012139619	0.0068272827	0.035399184	0.6802729	0.04011663	0.096030094	0.02135014	0.06026807	0.014284756	0.01080522	0.016501231
è	0.0032579582	0.017818294	0.0047946395	0.027059413	0.14742249	0.13388167	0.4531889	0.09612196	0.08333018	0.011488102	0.010118194	0.011518196
s	0.035585262	0.043532368	0.037650563	0.08973156	0.34202063	0.13386814	0.23023613	0.059692163	0.008821444	0.010738722	0.005088955	0.0030340457
s	0.002319542	0.019707367	0.015721349	0.06445878	0.4605005	0.21131125	0.16627747	0.02303309	0.01782074	0.0056145135	0.005863435	0.007371979
i	0.0047740946	0.00816326	0.005734393	0.06766402	0.110294834	0.08488847	0.47240692	0.11563067	0.043812145	0.021749645	0.022928026	0.041953545
è	0.009276023	0.016749596	0.010727369	0.03605996	0.1521025	0.22394918	0.3793419	0.08934096	0.015473056	0.03849317	0.017916808	0.010569468
n	0.013876748	0.033751	0.0058421106	0.021949563	0.23492847	0.10510643	0.38944787	0.08767932	0.032121092	0.02386106	0.041909147	0.009527123
a	0.0008648021	0.0089340955	0.0053913016	0.030879052	0.10222995	0.17731236	0.44775584	0.15620637	0.0482488	0.006506299	0.0069805263	0.008690602
p	0.004788307	0.0059702564	0.0050457264	0.020316347	0.029927755	0.02053616	0.5122791	0.32311973	0.027178794	0.030669488	0.015803797	0.004364558
u	0.00011695057	0.0035503113	0.0008238562	0.0071166134	0.049125776	0.034717508	0.32344225	0.294007	0.22228143	0.029526385	0.021843847	0.013448059
l	0.0021144578	0.003757891	0.002548426	0.018107772	0.03219097	0.01655198	0.4071651	0.40353078	0.06215514	0.025306996	0.01482473	0.011745631
i	0.00077868265	0.004102913	0.0014000302	0.013958497	0.03655919	0.01643291	0.42835024	0.24383247	0.19869803	0.025435053	0.016654113	0.0137979
z	0.004193883	0.004891232	0.0043816147	0.031455833	0.023941258	0.009761112	0.3251757	0.44980565	0.067689	0.042457573	0.020369	0.015878191
z	0.0028027387	0.0056503015	0.0034033312	0.019002294	0.030061193	0.014161671	0.34999743	0.20369723	0.2886302	0.038001463	0.021876095	0.022716101
