 	è	che	stanno	ancora	alzati	</S>
è	0.9956806	0.002126007	0.00016044515	0.00022985271	0.0013216916	0.0004812478
n	0.36122772	0.52851194	0.10176474	0.0055253333	0.00039399113	0.0025762268
a	0.150054	0.7938249	0.052458625	0.001962752	0.0011123576	0.0005872898
s	0.36851248	0.49466684	0.13641031	0.00023969244	0.00012758872	4.304163e-05
t	0.012589848	0.35337552	0.62839746	0.002285938	0.0018295773	0.001521688
a	0.026056793	0.29767138	0.6594195	0.0068777693	0.005319698	0.0046549276
s	0.13437419	0.3285975	0.5290447	0.007294928	0.00051193574	0.000176871
ù	0.0075923135	0.04736695	0.9102951	0.013384969	0.010386586	0.010974063
n	0.047487613	0.08428816	0.69190097	0.16895625	0.004389432	0.0029775887
e	0.031699903	0.3665734	0.38411668	0.19924487	0.014786203	0.0035789986
a	0.029256638	0.03629626	0.057185218	0.8671683	0.0070377453	0.0030558603
n	0.00082359556	0.0043043704	0.5075555	0.37283552	0.10885197	0.0056290594
k	0.013581419	0.07209796	0.4731918	0.21456121	0.13066123	0.0959064
ò	0.010812508	0.02877896	0.39058948	0.24022669	0.19133599	0.13825645
r	0.005504867	0.011288087	0.090528436	0.59260476	0.23158999	0.06848388
a	0.0036643904	0.022193044	0.13194594	0.43938103	0.37800163	0.02481401
o	0.020196669	0.022763042	0.036758468	0.55564076	0.25292975	0.11171125
r	0.00012316435	0.0012503187	0.04594358	0.107783794	0.83948284	0.0054163416
t	0.0017621407	0.0056781354	0.115636036	0.032236397	0.76752126	0.07716608
ì	0.00041570983	0.005903677	0.06631759	0.11991188	0.7759228	0.031528458
</S>	0.012210161	0.01698443	0.06711392	0.22901648	0.5519127	0.122762255
