 	le	ragazze	vogliono	guardate	</S>
t	0.9887456	0.0019349515	0.0039085774	0.0036236083	0.0017872308
a	0.89762914	0.090902135	0.005762722	0.0034075275	0.0022985735
k	0.9580655	0.040966623	0.0005178586	0.0003901845	5.979358e-05
o	0.260541	0.7283432	0.004139768	0.00061270024	0.0063633877
r	0.8869386	0.10410758	0.00721759	0.0014094983	0.00032666128
à	0.23340519	0.6988034	0.020857517	0.0034080578	0.043525834
s	0.2360951	0.7304155	0.027299456	0.0038625675	0.0023274056
i	0.10676718	0.848399	0.042233955	0.00071327604	0.0018866323
a	0.36669242	0.24449149	0.37856	0.0064837458	0.0037724166
t	0.018681929	0.1942577	0.7797396	0.00502854	0.0022922093
è	0.03883937	0.41504648	0.44728875	0.05568418	0.043141287
l	0.029772693	0.23768134	0.5828502	0.14132674	0.008368984
o	0.037171118	0.10764365	0.7777576	0.049218107	0.028209528
n	0.07557831	0.07643035	0.44789037	0.30499738	0.09510365
e	0.014355423	0.22631226	0.30411434	0.41361433	0.04160368
k	0.025591064	0.03415333	0.108737916	0.6752796	0.15623808
a	0.015398144	0.08237927	0.06991501	0.745537	0.086770535
n	0.02073694	0.025787838	0.08465614	0.7020564	0.16676268
o	0.006292196	0.09204614	0.03176206	0.8223886	0.047510985
n	0.01517965	0.019245688	0.07640904	0.72887707	0.16028854
i	0.0059618424	0.10377194	0.027671434	0.8029157	0.05967911
m	0.017119866	0.021273209	0.097155795	0.64382446	0.22062665
m	0.0040773526	0.069099285	0.021026969	0.61225426	0.29354212
è	0.013911732	0.11831463	0.071527235	0.38166073	0.4145857
n	0.023168003	0.08009926	0.24819855	0.5070117	0.14152247
a	0.056467623	0.14208041	0.2572893	0.2931397	0.25102296
</S>	0.016869713	0.017831799	0.029864123	0.31299856	0.62243587
