 	non	aveva	da	stare	</S>
e	0.99398285	0.0012362684	0.0010028426	0.0030283672	0.0007496846
n	0.8069218	0.14975311	0.0061022765	0.013355877	0.023867039
ì	0.041443728	0.8485903	0.015499252	0.03333987	0.061126858
c	0.2886583	0.6217712	0.03371338	0.03140867	0.024448475
h	0.041656975	0.8600145	0.09032385	0.0060650106	0.0019397385
e	0.038727567	0.08708184	0.8373408	0.0244693	0.0123805115
n	0.023663282	0.16312155	0.784775	0.019832022	0.008608121
a	0.014374073	0.057984527	0.78245664	0.103041045	0.042143706
s	0.029103087	0.035231072	0.19331636	0.6817795	0.06056993
t	0.0133381635	0.042146098	0.27069598	0.6116464	0.06217338
a	0.012232194	0.017754905	0.13125436	0.75017214	0.088586465
s	0.007702061	0.010019133	0.031692162	0.7927469	0.15783976
ì	0.015415235	0.029495746	0.12620056	0.5794798	0.24940863
</S>	0.049844716	0.019791493	0.13467675	0.7340829	0.06160412
