 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.97147465	0.011681589	0.0006253828	0.0009509467	0.00069053355	0.0009291245	0.00069060037	0.010892598	0.0020644986
o	0.93284637	0.008779894	0.0038133624	0.005933738	0.0044916775	0.024587473	0.010943023	0.0059829834	0.0026215743
f	0.8944637	0.10444859	0.0006216721	0.00019302512	1.9498639e-05	5.0661645e-05	3.0475576e-05	0.00014457286	2.7861075e-05
à	0.8372951	0.06501972	0.019934764	0.05628644	0.004168824	0.006082419	0.0018614082	0.0021889869	0.0071622767
i	0.08003038	0.9069072	0.009076448	0.0036432492	0.0001986609	5.8968002e-05	1.0731612e-05	5.896446e-05	1.5447848e-05
e	0.036983095	0.9345516	0.013334637	0.013513499	0.00039148948	0.0010455976	6.1778264e-05	0.00011011151	8.251474e-06
e	0.058882743	0.5922342	0.20538944	0.1149029	0.0062537873	0.019248536	0.00095064356	0.0019395946	0.00019810996
t	0.042634416	0.23178492	0.33123904	0.37224597	0.009496067	0.010614544	0.0006208541	0.0012564103	0.00010783976
è	0.06494188	0.097558364	0.14351268	0.5568661	0.032485906	0.077997684	0.0033096478	0.0062950053	0.017032716
l	0.03718971	0.08409635	0.03668366	0.76665044	0.06935978	0.004984778	9.911962e-05	0.00059438095	0.00034184827
i	0.03572332	0.051698145	0.21241151	0.59717447	0.07544848	0.025746725	0.0007510176	0.00056672294	0.00047957592
f	0.017242309	0.019257212	0.023622526	0.07352254	0.8543454	0.008660681	0.001801218	0.0007562817	0.0007918685
a	0.008471245	0.010259346	0.043582868	0.3839879	0.3158738	0.21997824	0.0034184621	0.0070541347	0.00737407
m	0.019991012	0.021550655	0.021013247	0.029701535	0.8586158	0.032904033	0.012196404	0.0022607106	0.0017664911
è	0.003422406	0.0048560966	0.0100108255	0.058397517	0.1282679	0.7580152	0.022276463	0.011959197	0.0027943614
n	0.022892315	0.04198592	0.03605992	0.09279978	0.5370957	0.23104693	0.027525483	0.007633403	0.0029605045
o	0.01119213	0.014474769	0.016799342	0.031834926	0.19209716	0.71567804	0.014156582	0.002544766	0.001222339
s	0.025455438	0.026525602	0.026453977	0.028303286	0.25692356	0.31998274	0.28556252	0.016821679	0.01397121
ù	0.0021869869	0.0048487857	0.008073941	0.013626377	0.0814163	0.69368964	0.1667882	0.020523993	0.008845833
b	0.015312283	0.017384203	0.015592778	0.021422088	0.114632055	0.1394268	0.5540524	0.11272561	0.009451729
i	0.00090805884	0.0018901707	0.0039754612	0.0061329002	0.02319241	0.3625131	0.48402587	0.101971745	0.0153903365
t	0.008758663	0.008988355	0.009324073	0.010651033	0.061616592	0.023675216	0.5491132	0.16818593	0.15968685
o	0.0029296356	0.005687418	0.00857618	0.010900591	0.021967279	0.1379089	0.5448613	0.23450683	0.03266183
è	0.0078511955	0.008219801	0.008869788	0.009458197	0.033531126	0.0126879085	0.21651098	0.29113984	0.41173112
p	0.001219388	0.0015405683	0.0012372287	0.004727003	0.0059876735	0.0068981615	0.04468292	0.9157922	0.017914979
r	0.0024273864	0.00440507	0.006418398	0.0077714594	0.012199717	0.05591012	0.22346264	0.5499901	0.13741508
è	0.0009994862	0.0019369653	0.0041168365	0.009611338	0.014563963	0.029424686	0.259676	0.47235048	0.20732023
s	0.007457172	0.0075657577	0.0076884488	0.008324052	0.032517668	0.009222292	0.064971425	0.49981362	0.36243954
t	0.0018286076	0.0037090397	0.0062553915	0.011126253	0.014614404	0.023150846	0.06432313	0.44259784	0.43239453
o	0.0021513253	0.0023533306	0.0027315074	0.004987791	0.024762467	0.007634272	0.0653194	0.50395954	0.38610035
</S>	0.004337326	0.004441398	0.0046247737	0.004719451	0.0090830885	0.004966165	0.014565964	0.09653543	0.85672635
