 	perché	aveva	lavorato	molto	</S>
j	0.35207948	0.18998581	0.239449	0.15827854	0.06020711
a	0.96701837	0.009165465	0.008641636	0.010255637	0.0049188244
t	0.79055566	0.20892312	0.00032989692	0.0001630028	2.83096e-05
ì	0.26082966	0.72904724	0.005738834	0.0019331262	0.002451103
ì	0.027335199	0.96651256	0.006052562	6.2062834e-05	3.752645e-05
c	0.016032599	0.8664484	0.10806378	0.004466696	0.00498857
h	0.12293514	0.3680532	0.5025029	0.0058920034	0.00061678747
e	0.033209637	0.21963625	0.7361894	0.0046536988	0.006311014
p	0.019074613	0.10808586	0.87073493	0.0012468598	0.0008578087
o	0.01085062	0.06701147	0.90917486	0.0052149673	0.007748006
l	0.10425032	0.32988316	0.5231133	0.008994613	0.033758577
e	0.027123196	0.082243666	0.7446002	0.06675313	0.07927977
m	0.148862	0.27720207	0.2846079	0.081069134	0.208259
ì	0.0066294232	0.04719138	0.21854629	0.6277794	0.09985348
s	0.03512422	0.098320566	0.1636301	0.65495706	0.047968052
o	0.044767957	0.15153669	0.5543485	0.21298465	0.03636217
n	0.015823264	0.025615538	0.030236455	0.6466289	0.2816958
t	0.0053250976	0.04527724	0.14946027	0.6571183	0.14281906
a	0.0148487715	0.07452605	0.30423188	0.3407134	0.2656799
p	0.0038600788	0.006774617	0.0037982212	0.72509754	0.26046947
o	0.000610177	0.0023948257	0.009514551	0.82302797	0.16445251
d	0.003643003	0.0059215804	0.01047878	0.75786036	0.22209631
d	0.00095804944	0.0031570992	0.010811061	0.80263984	0.18243398
h	0.00034935636	0.0009840038	0.0051628076	0.7371978	0.256306
ì	0.00371336	0.015638884	0.038511783	0.7705507	0.17158532
</S>	0.025871059	0.034111977	0.11788674	0.4242593	0.39787087
