 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.988664	0.0034611907	0.0038143569	0.0013870302	0.0012368987	0.00027480308	0.0011617754
ì	0.9916785	0.0070669684	0.00011893922	0.0007050647	0.00026340928	7.8203055e-05	8.907295e-05
s	0.77208644	0.22122157	0.0035626087	0.0020201856	0.00040996398	0.0003097971	0.00038949176
i	0.5910387	0.36406696	0.0069873384	0.014946774	0.012317877	0.0028829603	0.007759375
f	0.32622802	0.66263294	0.005781067	0.004894285	0.00028894862	8.9512745e-05	8.532768e-05
a	0.2816696	0.6896218	0.0018210945	0.01947388	0.0029746264	0.0008548231	0.0035841446
m	0.11937522	0.8196145	0.019068774	0.041178655	0.0005722085	6.073178e-05	0.00012998476
ì	0.1450336	0.82393116	0.006976543	0.018113228	0.0037009798	0.00051610393	0.0017283403
g	0.057239264	0.7783987	0.041709565	0.10591529	0.010110815	0.0014880067	0.0051382715
l	0.026669137	0.69940495	0.11740755	0.14785625	0.007449761	0.0006019848	0.00061033206
i	0.13822329	0.43024433	0.017047428	0.39356902	0.01510519	0.0025714335	0.003239289
a	0.03784026	0.051676817	0.49817094	0.38978726	0.016054537	0.003066259	0.0034038902
e	0.0073680216	0.068588935	0.24412064	0.4166195	0.2562881	0.004199674	0.002815081
n	0.01447085	0.062459067	0.049385402	0.4379829	0.38025767	0.031257395	0.024186758
è	0.07152146	0.067741245	0.01985249	0.16433156	0.49990007	0.10209177	0.07456144
c	0.013022594	0.19497377	0.059005745	0.24686135	0.459824	0.022103373	0.00420913
h	0.0063943863	0.034802288	0.03619907	0.19578305	0.6475774	0.06107983	0.018163994
i	0.0019352653	0.03144623	0.015026215	0.0508036	0.8179836	0.037356373	0.0454487
n	0.005743869	0.006456411	0.047396053	0.007862293	0.18929304	0.6868722	0.056376137
a	0.009836949	0.01435938	0.011220264	0.031274956	0.36831895	0.4758306	0.089158855
f	0.003530751	0.0067274477	0.04217445	0.005393995	0.050261203	0.80149436	0.09041787
à	0.021009278	0.016581813	0.011317395	0.024986988	0.1452252	0.40928304	0.37159634
i	0.023706863	0.14171799	0.26699743	0.073434085	0.24375917	0.15989847	0.090486035
</S>	0.0071534337	0.054862328	0.049910698	0.046758518	0.16742824	0.30146334	0.37242344
