 	qui	dentro	vuole	un	tappeto	</S>
e	0.96237004	0.002083057	0.005914371	0.0025863366	0.023982398	0.003063949
t	0.9847958	0.014582925	0.00042171523	6.3721476e-05	7.588908e-05	6.0039907e-05
t	0.82343966	0.15046571	0.013335054	0.0010391249	0.001267986	0.01045247
ù	0.5706575	0.37517688	0.022510761	0.008057082	0.0029883378	0.020609524
m	0.3678024	0.6284737	0.0036454126	2.517295e-05	3.42278e-05	1.909593e-05
è	0.07187662	0.61279553	0.31262663	0.0019234373	0.0006499831	0.00012786879
s	0.12090042	0.67394733	0.20456235	0.0002851572	0.00014256813	0.00016223559
a	0.010347029	0.037165236	0.94672453	0.0034819148	0.0011588287	0.0011225372
t	0.2904866	0.39667508	0.30065763	0.011060847	0.00047080932	0.0006490003
è	0.0049082343	0.023327952	0.95959187	0.00953754	0.0009604291	0.0016740263
l	0.072132565	0.10109205	0.68843114	0.12983121	0.002912965	0.0056000743
i	0.013002481	0.05796509	0.7578724	0.15855947	0.007896669	0.0047038295
è	0.061572872	0.063488215	0.048083905	0.7727317	0.01871586	0.035407458
n	0.02480759	0.028077995	0.15835258	0.71190226	0.070812136	0.0060472977
a	0.0043319315	0.019851644	0.20082392	0.73634195	0.029340638	0.009309943
t	0.032664288	0.03331639	0.03269795	0.5126227	0.33156857	0.05713008
a	0.0028130212	0.009491855	0.091481596	0.39203703	0.46389475	0.04028175
p	0.015236052	0.015482813	0.019391015	0.18987395	0.638081	0.12193515
p	0.0010752886	0.003757644	0.015347973	0.041444845	0.8494099	0.08896439
è	0.00556066	0.008925079	0.04867331	0.077660844	0.2864158	0.57276434
t	0.006681291	0.006792696	0.019033201	0.07840535	0.8535854	0.035502043
o	0.0024802058	0.003965649	0.048024494	0.13610403	0.49880067	0.31062487
</S>	0.0054019825	0.005427485	0.005526278	0.04121401	0.32869145	0.6137388
