 	lo	posso	finire	di	scrivere	</S>
o	0.94318336	0.0102548925	0.035868738	0.0041201916	0.004657375	0.0019154833
s	0.46236107	0.5363251	0.00032180545	0.00030966048	0.0004448615	0.00023761303
ò	0.21709539	0.7689234	0.0049557765	0.0020008401	0.0013164793	0.0057082134
z	0.022919038	0.9767761	0.00024034223	2.3345194e-05	1.401061e-05	2.7241289e-05
o	0.15131599	0.840619	0.0048950897	0.0013618333	0.0011842859	0.00062375143
s	0.12345791	0.8640048	0.011612831	0.00066669733	9.10957e-05	0.00016668745
p	0.09333399	0.8483864	0.041086372	0.0099694915	0.0045560393	0.0026676764
i	0.018291552	0.5402339	0.36668828	0.06572021	0.0034660983	0.005599964
c	0.062361896	0.17190523	0.72337604	0.038453966	0.002317108	0.0015857657
c	0.009565444	0.042192474	0.9017255	0.0301003	0.011289244	0.0051270253
è	0.058294285	0.124947526	0.20391424	0.2409932	0.20761904	0.16423166
t	0.025027916	0.06956479	0.446048	0.421625	0.034421887	0.003312388
s	0.04102277	0.08579377	0.3841424	0.451813	0.029821904	0.0074060615
i	0.012064368	0.016254053	0.033455607	0.58224946	0.2092263	0.14675023
à	0.008390808	0.021777168	0.051132664	0.5234519	0.20623791	0.18900953
t	0.0013877845	0.0065957275	0.032666367	0.6009853	0.3392304	0.01913439
s	0.004227505	0.014362093	0.055497836	0.41411957	0.3753816	0.13641146
e	0.0025271515	0.0035926835	0.015473144	0.24863915	0.38896033	0.34080753
g	0.002222473	0.007709812	0.012198624	0.08356069	0.42831823	0.46599013
r	0.00029687275	0.0012462555	0.012763791	0.14572677	0.6099162	0.2300501
à	0.0009312882	0.0068308734	0.018960934	0.07847861	0.79405004	0.1007483
t	0.016451355	0.01772815	0.034835976	0.14357151	0.65651476	0.13089819
s	0.0025872109	0.0052829003	0.009637934	0.056323294	0.7221637	0.20400496
i	0.0021515703	0.002599442	0.009301417	0.0769538	0.5912332	0.31776062
</S>	0.0064144637	0.009240198	0.011928837	0.02881824	0.1468887	0.79670954
