 	sembra	che	il	ladro	è	entrato	da	qui	</S>
i	0.9938076	0.0016008287	0.0004905955	0.00027617035	0.00029154855	0.000572325	0.00035361352	0.001993018	0.0006143077
f	0.99822646	0.0012939993	0.00015259402	8.458371e-05	4.263931e-05	0.00013014671	2.0898813e-05	2.9748873e-05	1.8947441e-05
è	0.7583623	0.20375632	0.026479788	0.0014838839	0.00061121286	0.0030113743	0.0010717502	0.002505932	0.002717341
n	0.70247775	0.25410438	0.038459167	0.00043338572	0.0015572074	0.0027493688	5.182794e-05	7.7054356e-05	8.983215e-05
e	0.35077244	0.5231772	0.070164144	0.012111022	0.008588151	0.010197802	0.009002555	0.007543554	0.008443124
t	0.073497824	0.86583537	0.060158856	0.0002598124	8.4151965e-05	0.00010566724	1.9051791e-05	3.340933e-05	5.739571e-06
e	0.11025458	0.6868011	0.18765241	0.00501664	0.0013658192	0.0042919987	0.0012336979	0.001275932	0.0021078112
k	0.07006835	0.5158102	0.40364394	0.009417362	0.00050945353	0.0004208503	4.5251727e-05	7.268791e-05	1.1946422e-05
a	0.066201225	0.5632509	0.3111227	0.027163785	0.008048998	0.013870431	0.0007049317	0.0018962433	0.007740794
o	0.04737892	0.19397031	0.7080144	0.04577509	0.0027870021	0.0019270794	5.3828022e-05	7.267355e-05	2.0573585e-05
l	0.05816341	0.2152281	0.64874816	0.03466398	0.0013348446	0.03991304	0.00034510967	0.0004706887	0.0011327452
à	0.052786358	0.0786007	0.28770798	0.47374594	0.052356392	0.02868767	0.00182634	0.002461869	0.021826724
d	0.01856153	0.09417438	0.4531281	0.3726858	0.031303257	0.027933715	0.0009867849	0.00038513474	0.0008414086
r	0.02148308	0.042996004	0.28372908	0.4322409	0.0932458	0.11842395	0.0047270185	0.00029018585	0.0028639417
o	0.054619204	0.06144536	0.14563027	0.2586599	0.112934634	0.3533032	0.009503553	0.002433236	0.001470647
m	0.032071564	0.038932335	0.07170424	0.43978962	0.26364726	0.1439353	0.0074944366	0.00034785277	0.00207752
b	0.0064141494	0.014517464	0.04139268	0.35218164	0.096166946	0.45077243	0.031010672	0.0059618372	0.001582169
ì	0.015456886	0.019632863	0.036790088	0.21672997	0.12055002	0.5309469	0.040802997	0.0041905395	0.014899712
k	0.028497895	0.0382074	0.04859475	0.20241836	0.28538486	0.25053465	0.1363358	0.0032611142	0.0067651486
e	0.014548924	0.016005127	0.021583391	0.098469	0.16998957	0.6353353	0.037226174	0.0044558896	0.0023865849
a	0.013031204	0.014890303	0.016242038	0.021848815	0.03290121	0.03299407	0.7738362	0.041137036	0.05311917
p	0.001975507	0.0025661213	0.0031996868	0.0056092525	0.007933562	0.016680192	0.8949796	0.05766181	0.00939425
ò	0.0065735662	0.0062251994	0.009292564	0.01457532	0.011684379	0.11956801	0.42257503	0.36317742	0.04632851
t	0.008709417	0.011788043	0.013944818	0.016860232	0.015065319	0.011990187	0.38394246	0.4645587	0.07314092
t	0.008964014	0.020610636	0.022442915	0.02562314	0.029632749	0.100448884	0.4066106	0.2650456	0.12062139
u	0.005332271	0.013184255	0.018326996	0.024216149	0.022035463	0.02371418	0.34868053	0.21144123	0.33306888
</S>	0.004518599	0.004449391	0.004895439	0.0049469694	0.0041730707	0.005895182	0.18994236	0.26906458	0.5121144
