 	si	è	rotta	la	coppa	</S>
e	0.98206615	0.010501813	0.0039692665	0.0008705371	0.0017492785	0.00084297085
g	0.9001576	0.047551904	0.026129235	0.002544443	0.0013556987	0.02226117
l	0.12412914	0.8001571	0.06504324	0.008812357	0.0010142085	0.0008439238
à	0.06273367	0.2693622	0.6207076	0.030253278	0.0028936898	0.014049542
s	0.035647806	0.1384091	0.76275504	0.062131323	0.0008588595	0.00019789452
t	0.044827696	0.2791636	0.56765383	0.091446914	0.016465615	0.00044237048
i	0.019326685	0.032377645	0.13602863	0.6886719	0.11913048	0.0044646943
e	0.025594357	0.044136398	0.14925252	0.7678634	0.011106619	0.0020467911
c	0.00028432257	0.0006630953	0.002889387	0.6250088	0.36997733	0.0011769506
ò	0.0011640167	0.0016368494	0.0012079901	0.17392278	0.8129503	0.009118039
p	0.042528953	0.059002493	0.070512615	0.39132467	0.35302782	0.08360342
p	0.0011540661	0.0027744526	0.005315908	0.12936	0.8567953	0.004600149
a	0.00069035334	0.0015082695	0.0035546818	0.24325211	0.7220467	0.028947936
</S>	0.022706345	0.02560222	0.026504755	0.17551212	0.08178066	0.66789395
