 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.971311	0.014814799	0.00621164	0.0005985055	0.00038771558	0.0006918917	0.00062842673	0.0002936206	0.0041815382	0.00031916198	0.00056187663
a	0.90464485	0.035055563	0.010816984	0.0072282986	0.0077108536	0.018356137	0.008068303	0.0032383322	0.0020246238	0.0016635004	0.001192539
p	0.5186937	0.479441	0.0016093699	4.5273628e-05	2.769816e-05	4.1539515e-05	2.0886006e-05	1.7858103e-05	5.852276e-05	2.1438127e-05	2.2757848e-05
e	0.46435368	0.49811947	0.03160462	0.0025826367	0.000114243034	0.0021001503	0.000561991	0.00018942097	0.00027875774	2.6143072e-05	6.881407e-05
d	0.29880437	0.6712564	0.02964639	0.0002097119	1.1067953e-05	1.924598e-05	6.1665564e-06	8.593203e-06	2.8613813e-05	3.8798553e-06	5.5355363e-06
ì	0.21700895	0.6206343	0.14980721	0.0098030595	5.2455784e-05	0.0020630318	0.00032186706	6.783417e-05	0.00018135142	1.0291007e-05	4.961325e-05
a	0.09278977	0.61766887	0.2718613	0.017427672	5.734308e-05	6.0765502e-05	9.198075e-06	1.8683395e-05	5.5437376e-05	1.8612154e-05	3.2319902e-05
m	0.06878484	0.5045684	0.41057187	0.015266397	2.357031e-05	0.00069353776	4.7870486e-05	2.1387354e-05	1.3949639e-05	1.390348e-06	6.7949914e-06
i	0.16421993	0.3728621	0.36769244	0.077273235	0.0013511659	0.013986332	0.001707489	0.00021563616	0.0004774216	5.516438e-05	0.00015906928
n	0.14826228	0.34017366	0.20878892	0.3006879	0.0007484052	0.0011532068	0.00010521061	3.9301514e-05	2.741177e-05	1.8843904e-06	1.1790926e-05
c	0.100869544	0.19883323	0.3725209	0.11899908	0.05135484	0.094870925	0.018954089	0.003777244	0.01864005	0.0015612895	0.019618845
i	0.3328833	0.29764774	0.05326985	0.06977837	0.20976755	0.025600087	0.0049268585	0.0017607979	0.0020922292	0.00021142937	0.0020617878
à	0.06215398	0.26441783	0.25421715	0.39283007	0.0025076757	0.020127196	0.0020962916	0.00019867193	0.00097272877	3.8199105e-05	0.0004402241
è	0.024979899	0.123659916	0.13420893	0.7047546	0.005904634	0.005212335	0.0004458557	6.065371e-05	0.0003366028	7.3367206e-05	0.0003632394
r	0.027127141	0.13063295	0.083249874	0.7184442	0.021892767	0.01409827	0.0016665121	0.00014905857	0.001655483	0.00016381986	0.0009199444
