 	non	ci	dimentichiamo	mai	</S>
e	0.9888737	0.0033894111	0.0020740447	0.0030729251	0.0025899028
n	0.48937887	0.49020022	0.0049226405	0.0066922596	0.008806017
è	0.06150882	0.8864311	0.015924877	0.009894254	0.026240833
n	0.51794004	0.38273662	0.027162787	0.026684055	0.045476463
a	0.17413993	0.81030595	0.010780602	0.0023591425	0.0024143418
a	0.3254432	0.6023741	0.038533375	0.027553672	0.006095679
l	0.014027895	0.74359924	0.19500867	0.035786092	0.011578078
l	0.04542979	0.075730056	0.5967392	0.11310738	0.16899355
i	0.036188256	0.10714411	0.5896378	0.14263983	0.12438998
m	0.4261101	0.13852526	0.2858547	0.1356324	0.01387753
o	0.019825263	0.07019755	0.7997243	0.087387785	0.022865094
n	0.118882746	0.16833763	0.42082366	0.25810245	0.03385348
i	0.01664545	0.058807623	0.7279599	0.09709173	0.099495254
s	0.23563297	0.05952859	0.4218642	0.26226518	0.02070903
t	0.008176836	0.04664608	0.7234144	0.16627564	0.05548711
ù	0.015308891	0.060256325	0.715038	0.16080266	0.04859406
m	0.13901007	0.031237125	0.34565842	0.4436578	0.04043658
e	0.023757774	0.0655113	0.46222326	0.4072709	0.04123671
s	0.07207222	0.03211789	0.09524266	0.5625719	0.23799539
t	0.017170448	0.0907754	0.20984352	0.5726691	0.109541565
a	0.026915321	0.06032004	0.11954354	0.5092749	0.28394616
m	0.03891334	0.015472094	0.11062652	0.55897963	0.2760084
à	0.0046809358	0.034334846	0.200908	0.45272243	0.30735385
i	0.13601352	0.15392481	0.19690947	0.37132847	0.14182371
</S>	0.065101646	0.12511864	0.26646426	0.36504942	0.17826605
