 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
e	0.6563543	0.12883551	0.1741356	0.0064564412	0.008889323	0.0054093204	0.010688042	0.0055287047	0.0037027493
t	0.958049	0.041204713	0.0004328816	9.930886e-05	8.345475e-05	3.1838063e-05	5.4399796e-05	2.2659007e-05	2.1660362e-05
t	0.9466846	0.0299281	0.0028791558	0.0055401763	0.00807154	0.0010893679	0.0015591035	0.0015235775	0.0027244408
è	0.7675029	0.16384675	0.011769903	0.006881839	0.011031501	0.0036288307	0.003355897	0.014262781	0.017719671
d	0.13513261	0.8609495	0.0037318615	9.14337e-05	3.7977286e-05	5.6775316e-06	1.6565356e-05	1.6443593e-05	1.795719e-05
e	0.22995263	0.70548224	0.04645962	0.0065373844	0.008078642	0.0010254461	0.0009296437	0.0013195021	0.00021486741
c	0.027270116	0.8826622	0.08885074	0.000925367	0.00022059662	1.2083231e-05	3.1484324e-05	2.1869078e-05	5.5571013e-06
i	0.047718205	0.8519698	0.09437387	0.0036658419	0.0018796006	0.000110506764	0.00019733637	5.9769678e-05	2.5061865e-05
d	0.050817937	0.34746838	0.5886919	0.01186875	0.0009964106	3.8945233e-05	9.673987e-05	1.0298008e-05	1.0572434e-05
è	0.03310826	0.30311432	0.6262747	0.022979151	0.013469578	0.00016379496	0.0003275223	0.00028482522	0.00027779295
t	0.013736853	0.05849231	0.81628484	0.1038477	0.0074602873	3.171617e-05	2.6809203e-05	4.5993234e-05	7.3437775e-05
s	0.21989772	0.35133335	0.26528695	0.12063916	0.017843988	0.013965113	0.0066364147	0.002299213	0.0020981582
a	0.21823342	0.11652371	0.15242518	0.19268218	0.06814318	0.13471277	0.071320705	0.030140178	0.01581862
m	0.011312561	0.055416122	0.37354732	0.4346572	0.12371932	0.00067603483	0.00037084514	8.3213e-05	0.00021740663
o	0.008388782	0.016643927	0.3872395	0.4968177	0.0796395	0.0059929425	0.0039416654	0.00040108975	0.00093492935
k	0.008378782	0.010905395	0.09545004	0.701176	0.1812728	0.0021128284	0.00056259806	1.8491353e-05	0.00012314931
a	0.013992721	0.012791497	0.06667609	0.6826663	0.14646009	0.030779183	0.01843619	0.0013007682	0.02689723
s	0.007698203	0.010337461	0.032854546	0.36487943	0.5705634	0.012351743	0.00089953956	7.1209775e-05	0.0003445937
ì	0.010888115	0.009079198	0.030889615	0.5185602	0.27392223	0.081378825	0.045724288	0.0033554696	0.026202079
m	0.0024033766	0.0096710855	0.03339621	0.22680913	0.63891315	0.08335087	0.0047368007	0.00013389734	0.0005854384
m	0.00691834	0.0064531798	0.024326753	0.33153427	0.39418182	0.1906821	0.042399548	0.00074237713	0.0027616203
e	0.0048211114	0.0052035116	0.023354957	0.26877406	0.57022196	0.08482928	0.034692533	0.00021257249	0.007890047
r	0.002439465	0.0047571138	0.011836809	0.122386195	0.6986006	0.12187725	0.033649396	0.00062486844	0.0038283712
i	0.004718676	0.003792738	0.0063848924	0.030350361	0.24106848	0.61546457	0.08567663	0.0036783519	0.008865276
p	0.0093208635	0.010121664	0.012675077	0.025246972	0.12163693	0.6575921	0.14539276	0.008515443	0.009498177
à	0.0025417542	0.0023035205	0.003943094	0.019799035	0.21970038	0.5772603	0.14752351	0.0066477843	0.020280605
m	0.0042892387	0.009740922	0.018887231	0.061644845	0.22559501	0.45529464	0.22099812	0.0018864337	0.001663527
e	0.0016003072	0.0013669629	0.006685786	0.015303671	0.06278117	0.621479	0.27385318	0.010602032	0.0063279644
s	0.0065811803	0.0070754928	0.012217625	0.03153048	0.12126585	0.3367204	0.43568015	0.011425334	0.03750349
t	0.0054893037	0.0044999067	0.0072434633	0.015183993	0.051342018	0.57889795	0.3029684	0.0154840825	0.018890861
i	0.012564524	0.010204387	0.045341995	0.053693462	0.06587615	0.16499177	0.54368085	0.018427256	0.08521965
s	0.006071207	0.0057376535	0.00735646	0.010648101	0.029176004	0.36323228	0.37997067	0.07680863	0.12099904
p	0.0013159519	0.0009968692	0.002256851	0.0061489763	0.032839917	0.29148784	0.5867713	0.03608386	0.04209841
i	0.0009814877	0.0006969164	0.0049978355	0.009601939	0.03422109	0.1054329	0.308053	0.32140028	0.21461457
à	0.0031200678	0.0027147147	0.013421391	0.032581087	0.062431164	0.10038277	0.3468606	0.16393223	0.27455598
g	0.003277957	0.0030479634	0.019378876	0.021703409	0.036186695	0.10334515	0.6687364	0.1272469	0.017076658
g	0.0013391965	0.0010123233	0.005049905	0.010537872	0.021843262	0.121078044	0.3892788	0.3921045	0.05775607
i	0.0037266486	0.0032513367	0.020987814	0.036882542	0.058195908	0.16322616	0.27898592	0.13331802	0.30142564
a	0.0025224932	0.002391938	0.012639626	0.02224574	0.028758472	0.04565766	0.30578563	0.41429633	0.16570216
</S>	0.0022195533	0.002033581	0.0120493565	0.019521782	0.023778759	0.026803037	0.11940727	0.41110644	0.3830802
