 	deve	essere	bianco	</S>
è	0.97653025	0.007977554	0.0122304745	0.0032617429
n	0.35587892	0.63761395	0.0005827899	0.0059243063
a	0.29568917	0.6987273	0.004542724	0.0010407988
è	0.66636235	0.32486576	0.006008651	0.0027632308
n	0.051201086	0.92862666	0.013620208	0.0065521025
e	0.25394186	0.3956275	0.34457025	0.005860441
à	0.38462552	0.44346187	0.078064844	0.093847774
s	0.053772554	0.20156865	0.72839963	0.016259238
p	0.0061241807	0.098682694	0.8762138	0.018979235
r	0.005561778	0.22754353	0.63368446	0.13321029
o	0.0015018365	0.07484108	0.8805928	0.04306427
</S>	0.047427714	0.07630075	0.068076536	0.808195
