 	vuole	vuole	mangiato	caldo	</S>
t	0.9786628	0.0073149675	0.005486432	0.0051405686	0.003395347
è	0.9859671	0.005741808	0.0016866354	0.004066647	0.0025378468
l	0.9686035	0.029016675	0.0007502403	0.0008261455	0.0008034888
i	0.5002697	0.48928383	0.0051660766	0.001907718	0.0033726413
t	0.69461733	0.28551507	0.015809719	0.0022939702	0.0017640303
è	0.15975435	0.79684687	0.0057809995	0.015690451	0.021927373
l	0.108489655	0.8207824	0.035780504	0.029719675	0.0052277963
i	0.053247906	0.8052622	0.06719489	0.06127016	0.01302481
f	0.08104185	0.12613292	0.72042936	0.0472944	0.025101524
a	0.021738717	0.30133334	0.20028827	0.4080561	0.06858361
m	0.080553144	0.05261019	0.7535532	0.08992997	0.02335347
è	0.013063889	0.04712049	0.24678129	0.6469806	0.046053674
n	0.0527746	0.17837761	0.16006643	0.5981326	0.010648716
o	0.062258616	0.13389076	0.37953764	0.38190788	0.042405088
t	0.041620895	0.029743886	0.11749557	0.6242246	0.18691498
r	0.002617764	0.017875893	0.11740928	0.7995262	0.062570855
e	0.0010229334	0.0033157095	0.024042845	0.8416167	0.13000178
m	0.014901613	0.009950068	0.115705885	0.44437245	0.41506997
m	0.00087069086	0.004552969	0.015053346	0.8722326	0.1072904
ò	0.0033922524	0.029071417	0.03920075	0.73594314	0.1923925
</S>	0.039623305	0.17021017	0.13486147	0.37159598	0.28370908
