 	sto	ancora	cucinando	</S>
s	0.96756536	0.0073445914	0.01856264	0.0065273955
t	0.98626894	0.0028766827	0.008250835	0.0026035127
e	0.9250388	0.02938995	0.020414373	0.025156938
a	0.9056477	0.092701904	0.0006564198	0.0009939562
n	0.3933927	0.57212067	0.010990102	0.0234966
k	0.40632936	0.27047017	0.082010955	0.24118948
ò	0.2465419	0.31800056	0.09479725	0.3406602
r	0.13682169	0.7052816	0.08152044	0.07637628
a	0.26827732	0.6027609	0.09440698	0.03455479
m	0.10003072	0.38762373	0.22922952	0.28311598
a	0.031343233	0.11777457	0.8054899	0.045392353
r	0.025881112	0.2057586	0.5081234	0.26023683
è	0.041869868	0.06905841	0.70742303	0.18164869
o	0.065985486	0.22700848	0.6620732	0.044932816
n	0.0044058063	0.13445559	0.71347594	0.14766268
t	0.040332116	0.07666701	0.7832311	0.09976974
a	0.013057097	0.1993415	0.4368939	0.35070744
</S>	0.023066804	0.10637012	0.4691004	0.40146267
