 	lo	sentii	ee	che	arrivava	</S>
t	0.9846474	0.005871711	0.00020821577	0.003491547	0.0028829214	0.0028981671
o	0.9524558	0.012122635	0.012577015	0.010035757	0.00826997	0.0045389878
n	0.8161473	0.17743877	0.0059691537	0.00020532639	0.00019333031	4.6126657e-05
ì	0.6430743	0.25370905	0.07330042	0.00743849	0.0045243246	0.01795343
k	0.09955357	0.87096775	0.026992097	0.0023239707	0.000102490965	6.0164402e-05
u	0.09265812	0.762479	0.13929522	0.004494336	0.00040196488	0.00067132484
s	0.12145965	0.5138962	0.31510055	0.04885641	0.00038590745	0.00030122136
a	0.041672975	0.16347231	0.652616	0.13749103	0.00265233	0.0020953624
e	0.063272424	0.08840234	0.09734755	0.7460757	0.0032838632	0.001618032
e	0.000891391	0.0025472776	0.035710916	0.9215912	0.037504893	0.001754228
k	0.0032341902	0.0066320337	0.07204018	0.77535635	0.11910166	0.023635617
a	0.011372989	0.023739954	0.0547792	0.22095591	0.617887	0.071264975
è	0.030129747	0.036483377	0.051660083	0.6829378	0.15697911	0.041809894
s	0.0069954162	0.0050103315	0.012455168	0.12908944	0.8387982	0.0076514403
t	0.026556602	0.028638046	0.15352434	0.48583558	0.27139655	0.034048893
a	0.010434867	0.009896055	0.040095404	0.2973061	0.40949863	0.23276894
z	0.011769709	0.014901503	0.01535904	0.032333963	0.6375914	0.28804436
z	0.0011988885	0.0028922865	0.0143704275	0.027998952	0.891317	0.06222246
e	0.0005371964	0.000942077	0.003039932	0.008910101	0.8764901	0.11008053
</S>	0.012135533	0.012910284	0.013542894	0.02332477	0.32607102	0.61201555
