 	nella	pasta	vuole	sale	</S>
s	0.9685281	0.0065531665	0.013606781	0.009758506	0.0015534787
t	0.9514535	0.0284289	0.006121903	0.0114254095	0.00257013
i	0.96822274	0.013879252	0.0063225282	0.0068413992	0.004734138
p	0.9562906	0.042175967	0.00090464414	0.0005640317	6.4585256e-05
à	0.739499	0.1628196	0.046060815	0.045579623	0.0060409843
s	0.060360853	0.8890332	0.046607416	0.0024481276	0.0015504229
t	0.0635492	0.43921918	0.47861966	0.017196503	0.0014154096
a	0.042059973	0.13126493	0.609925	0.20557715	0.011173041
t	0.033070788	0.7289678	0.17316721	0.05809383	0.0067003495
è	0.0033443319	0.015187611	0.88342166	0.09039452	0.007651909
l	0.006666426	0.054977503	0.8380401	0.09298999	0.007325968
i	0.012935914	0.031613432	0.7163033	0.19464345	0.044503894
à	0.05732197	0.07624888	0.07491942	0.5365277	0.2549821
l	0.0032912828	0.008160964	0.09096589	0.8887113	0.008870601
a	0.0060121086	0.014272739	0.15043466	0.75750464	0.07177582
</S>	0.03762789	0.042796776	0.030302804	0.1832494	0.7060231
