 	l	ho	sentito	che	veniva	</S>
o	0.99055594	0.0016768967	6.170918e-05	0.0006856863	0.005357277	0.0016623727
n	0.7631611	0.07361064	0.15466402	0.0059951004	0.00027248712	0.0022967008
ì	0.46549752	0.37828138	0.11043185	0.030977894	0.0051821778	0.009629274
k	0.16813292	0.67803484	0.13824101	0.014874362	0.0003578194	0.00035893224
u	0.07488847	0.6763517	0.24006727	0.007353553	0.0010023465	0.00033670504
s	0.13839301	0.35716623	0.3320376	0.17085847	0.0012918683	0.00025282628
a	0.021484222	0.07773336	0.63905084	0.25434563	0.0064191213	0.0009667856
k	0.06860541	0.08717858	0.08891147	0.73723674	0.016865449	0.0012022961
a	0.006480178	0.029448854	0.0918515	0.6904271	0.17287005	0.008922273
è	0.06327827	0.068678595	0.06428006	0.5177716	0.2735683	0.0124231465
r	0.0077767903	0.008704382	0.006738594	0.122087285	0.8521615	0.0025313841
k	0.011829372	0.019892922	0.12146943	0.5751671	0.26543835	0.0062027564
a	0.0029732469	0.0040821233	0.015411933	0.20025589	0.7341645	0.04311231
t	0.027738115	0.031277515	0.0313286	0.062324043	0.6805256	0.1668061
o	0.0012868968	0.0018534424	0.011645575	0.07369085	0.8905089	0.021014431
</S>	0.01689834	0.018533513	0.019199865	0.062631935	0.53680885	0.34592754
